,講義コード,講義名,担当者名
0,112927,行政法１,北見 宏介
1,111008,日本語３,向井 淑子
2,111019,日本語１,服部 淳
3,111020,日本語４,服部 淳
4,111021,日本語２,大羽 かおり
5,111112,英語講読１,平山 千鶴子
6,111125,英語講読１,平山 千鶴子
7,111127,哲学１,小林 智
8,111128,基礎演習１,伊川 正樹
9,111129,基礎演習１,滝谷 英幸
10,111130,基礎演習１,野口 大作
11,111131,基礎演習１,柳 勝司
12,111132,基礎演習１,柳沢 雄二
13,111137,基礎演習１,川元 主税
14,111138,基礎演習１,萩野 貴史
15,111139,基礎演習１,松田 真治
16,111140,特設科目B （千賀修一先生寄付講座「法律入門」）,柳 勝司|植木 淳|野口 大作|北見 宏介|長谷川 乃理|八神 聖
17,111160,基礎演習１,伊藤 博路
18,111161,基礎演習１,仮屋 篤子
19,111163,基礎演習１,伊藤 亮吉
20,111164,基礎演習１,近藤 敦
21,111168,基礎演習１,二本栁 誠
22,111169,基礎演習１,松田 恵美子
23,111172,教養特設科目B（名城進路講座―大志を抱け）,伊川 正樹
24,111179,基礎演習１,河北 洋介
25,111180,基礎演習１,北見 宏介
26,111181,基礎演習１,笹岡 克比人
27,111182,基礎演習１,庄村 勇人
28,111183,基礎演習１,前田 智彦
29,111184,基礎演習１,山口 敦子
30,111185,基礎演習１,渡邊 亙
31,111200,基礎演習１,佐藤 一義
32,111202,基礎演習１,杉浦 林太郎
33,111203,基礎演習１,吉行 幾真
34,111210,基礎演習１,川原 勝美
35,111211,基礎演習１,野上 博義
36,111212,基礎演習１,平井 亮輔
37,111217,基礎演習１,植木 淳
38,111218,基礎演習１,長谷川 乃理
39,111220,基礎演習１,代田 清嗣
40,111221,基礎演習１,日比野 泰久
41,111236,基礎演習１,柳澤 武
42,111512,英語講読２,平山 千鶴子
43,111514,哲学１,小林 智
44,111526,英語講読２,平山 千鶴子
45,111528,基礎演習２,吉行 幾真
46,111555,基礎演習２,近藤 敦
47,111556,基礎演習２,山口 敦子
48,111558,教養特設科目B（名城進路講座―考動力）,伊川 正樹
49,111561,社会科学のための数学１,井口 泰秀
50,111566,基礎演習２,仁井田 崇
51,111567,基礎演習２,松田 真治
52,111568,教養特設科目B （論理的表現法）,藤川 誠二
53,111592,基礎演習２,川原 勝美
54,111593,基礎演習２,仁井田 崇
55,111601,基礎演習２,伊川 正樹
56,111602,基礎演習２,佐藤 一義
57,111603,基礎演習２,日比野 泰久
58,111604,基礎演習２,山本 忠弘
59,112101,哲学２,小林 智
60,112112,中国語３,仲 曄慶
61,112114,英語講読１,鈴木 克彦
62,112115,実践英語１,鈴木 克彦
63,112117,教養特設科目B （実践英語特別）,KEITH SAMUEL JOHN
64,112118,実践英語１（再）,古田 雪子
65,112122,実践英語２（再）,古田 雪子
66,112129,実践英語３,山田 豊
67,112139,実践英語３,山田 豊
68,112144,実践英語３,久米 祐介
69,112150,倫理学２,小林 智
70,112157,英語講読１（再）,平山 千鶴子
71,112161,英語講読２（再）,平山 千鶴子
72,112163,企業法１,長谷川 乃理
73,112165,実践英語３,鈴木 克彦
74,112173,特設科目B （教養演習）（行政専門・法専門コース）,岩本 朋大
75,112199,生涯スポーツと実践（マリン）,米田 勝朗
76,112503,倫理学２,星 揚一郎
77,112506,政治史,関口 哲矢
78,112507,哲学２,小林 智
79,112514,中国語４,仲 曄慶
80,112515,英語講読２,鈴木 克彦
81,112517,実践英語２,鈴木 克彦
82,112518,実践英語３,久米 祐介
83,112519,教養特設科目B （実践英語特別）,KEITH SAMUEL JOHN
84,112520,実践英語２（再）,古田 雪子
85,112524,実践英語１（再）,古田 雪子
86,112531,実践英語４,山田 豊
87,112541,実践英語４,山田 豊
88,112546,実践英語４,久米 祐介
89,112550,日本法制史,代田 清嗣
90,112557,行政学,髙松 淳也
91,112560,英語講読２（再）,平山 千鶴子
92,112561,企業法１,長谷川 乃理
93,112563,会計学２,加藤 久也
94,112565,英語講読１（再）,平山 千鶴子
95,112567,実践英語４,鈴木 克彦
96,112598,生涯スポーツと実践（スキー）,米田 勝朗
97,112919,日本法制史,代田 清嗣
98,113109,民事訴訟法,日比野 泰久
99,113112,英語講読４,久米 祐介
100,113113,実践英語４,久米 祐介
101,113117,民事訴訟法,前田 智彦
102,113131,特設科目B （法務演習１）（行政専門コース・法専門コース）,日比野 泰久
103,113503,外国語文献講読（英語）,上野 史朗
104,113514,外国語文献講読（独語）,渡邊 亙
105,113528,特設科目B （法務演習２）（行政専門コース・法専門コース）,日比野 泰久
106,113534,特設科目B （法律英語３）,柳澤 武
107,122501,インターンシップ１,教員未確定
108,122502,インターンシップ２,教員未確定
109,651101,教職入門,片山 信吾
110,653523,教育実習指導（事前）,片山 信吾
111,654101,教育実習１,片山 信吾
112,654109,教育実習２,片山 信吾
113,654501,教職実践演習(中・高),片山 信吾
114,654512,教育実習１,片山 信吾
115,654520,教育実習２,片山 信吾
116,111135,ボランティア入門,向井 忍
117,111174,国文学１,井上 和歌子
118,111201,教養特設科目B（中国入門１）,王 莉莎
119,111204,特設科目B （法律英語１）,柳澤 武
120,111216,特設科目B （法律中国語１）,楊 遠寧
121,111222,国文学１,井上 和歌子
122,111237,経済学１,尾崎 邦博
123,111250,経済学１,尾崎 邦博
124,111584,教養特設科目B（中国入門２）,王 莉莎
125,111591,特設科目B （法文化１）,平井 亮輔
126,111597,特設科目B （法律中国語２）,楊 遠寧
127,112102,教養特設科目Ａ（経営学）,猿爪 雅治
128,112146,特設科目B （法文化３）,代田 清嗣
129,112149,特設科目B （不動産登記と土地家屋調査士）（法専門コース）,河合 信季
130,112156,特設科目B （韓国法文化）,長谷川 乃理
131,112162,教養特設科目Ａ（社会政策）,尾崎 邦博
132,112175,教養特設科目B（海外研修）,柳澤 武
133,112194,特設科目B （法文化２）,髙松 淳也
134,112197,特設科目B （沖縄の基地をめぐる政治と行政）,黒柳 保則
135,112198,特設科目B （韓国法）,教員未確定
136,112511,特設科目B （税務入門）,伊川 正樹
137,112523,教養特設科目Ｂ（社会心理学）,塚本 恵信
138,112543,教養特設科目B（中国社会２）,渡 昌弘
139,112568,特設科目B （金融商品取引法）,吉行 幾真
140,112575,教養特設科目Ａ（歴史学）,近藤 毅大
141,112594,教養特設科目Ａ（経済政策）,尾崎 邦博
142,113114,特設科目B （アドバンスト民事訴訟法）,前田 智彦
143,113124,特設科目B （法女性学１）,松田 恵美子
144,113126,特設科目B （法律中国語５）,楊 遠寧
145,113127,特設科目B （法務演習１）（行政専門コース・法専門コース）,安井 一大
146,113128,特設科目B （法務演習１）（行政専門コース・法専門コース）,仮屋 篤子
147,113129,特設科目B （法務演習１）（行政専門コース・法専門コース）,河北 洋介
148,113130,特設科目B （法務演習１）（行政専門コース・法専門コース）,庄村 勇人
149,113501,特設科目A （比較政治学）（法総合コース）,小池 康弘
150,113507,特設科目B （マンション法-建物区分所有法）,野口 大作
151,113508,特設科目A （アドバンスト行政法）（行政専門コース）,北見 宏介
152,113524,特設科目B （法務演習２）（行政専門コース・法専門コース）,安井 一大
153,113527,特設科目B （法務演習２）（行政専門コース・法専門コース）,仮屋 篤子
154,113529,特設科目B （法務演習２）（行政専門コース・法専門コース）,二本栁 誠
155,113530,特設科目B （法務演習２）（行政専門コース・法専門コース）,藤谷 久美
156,113532,特設科目B （アジア法）,宇田川 幸則
157,113535,国際取引法,小林 洋哉
158,114001,専門演習２,山口 敦子
159,114002,専門演習２,川元 主税
160,114003,専門演習２,伊藤 亮吉
161,114004,専門演習２,伊藤 博路
162,114005,専門演習２,河北 洋介
163,114006,専門演習２,近藤 敦
164,114007,専門演習２,松本 俊太
165,114008,専門演習２,松田 真治
166,114009,専門演習２,仮屋 篤子
167,114010,専門演習２,川原 勝美
168,114011,専門演習２,佐藤 一義
169,114012,専門演習２,代田 清嗣
170,114014,専門演習２,矢嶋 光
171,114015,専門演習２,伊川 正樹
172,114016,専門演習２,庄村 勇人
173,114017,専門演習２,杉浦 林太郎
174,114018,専門演習２,滝谷 英幸
175,114019,専門演習２,二本栁 誠
176,114020,専門演習２,前田 智彦
177,114021,専門演習２,北見 宏介
178,114022,専門演習２,髙松 淳也
179,114023,専門演習２,野上 博義
180,114024,専門演習２,野口 大作
181,114025,専門演習２,植木 淳
182,114027,専門演習２,柳 勝司
183,114028,専門演習２,吉行 幾真
184,114030,専門演習２,長谷川 乃理
185,114031,専門演習２,柳沢 雄二
186,114032,専門演習２,平井 亮輔
187,114033,専門演習２,萩野 貴史
188,114034,専門演習２,柳澤 武
189,652501,教育行政論,片山 信吾
190,652124,教育方法論,後藤 明史
191,652129,道徳教育の指導法,塚原 利理
192,652130,特別活動の指導法,山川 法子
193,651501,学習社会論,片山 信吾
194,651511,教育方法・技術論,平山 勉
195,652101,発達心理学,木村 美奈子
196,652104,教育法規,片山 信吾
197,652510,道徳教育の理論と指導法,塚原 利理
198,653111,学校課題演習,片山 信吾
199,653112,学校課題演習,谷口 正明|井中 宏史
200,653514,学校課題演習,嶋口 裕基
201,653515,模擬授業演習,片山 信吾
202,661501,生涯学習論,片山 信吾
203,662101,博物館原論,正村 美里
204,662103,日本文化の歴史,山中 雅子
205,662104,民俗学,山中 雅子
206,662501,博物館経営論,土山 公仁
207,662503,古文書学,山中 雅子
208,664006,博物館実習３,平山 勉
209,111001,生涯体育,小山田 和行
210,111002,生涯体育,塩見 哲大
211,111003,生涯体育,黒田 真二
212,111004,生涯体育,小山田 和行
213,111005,生涯体育,塩見 哲大
214,111006,生涯体育,黒田 真二
215,111007,特設科目A （実践法教育）,萩野 貴史|柳沢 雄二|二本栁 誠
216,111009,生涯体育,米田 勝朗
217,111010,生涯体育,杉浦 春雄
218,111011,生涯体育,稲葉 泰嗣
219,111012,生涯体育,米田 勝朗
220,111013,生涯体育,杉浦 春雄
221,111014,生涯体育,稲葉 泰嗣
222,111015,生涯体育,米田 勝朗
223,111016,生涯体育,小山田 和行
224,111017,生涯体育,米田 勝朗
225,111018,生涯体育,小山田 和行
226,111022,日本語５,大羽 かおり
227,111101,ドイツ語１,神谷 美砂子
228,111102,ドイツ語１,神谷 貴子
229,111103,ドイツ語１,松井 隆幸
230,111104,フランス語１,足立 和彦
231,111105,フランス語１,小田 麻里名
232,111106,フランス語１,植田 裕志
233,111107,中国語１,仲 曄慶
234,111108,中国語１,周 国龍
235,111109,中国語１,陳 志平
236,111110,中国語１,陶山 宗幸
237,111111,中国語１,坂井田 ひとみ
238,111113,英語講読１,田中 一穂
239,111114,ドイツ語１,神谷 美砂子
240,111115,ドイツ語１,星 揚一郎
241,111116,ドイツ語１,松井 隆幸
242,111117,フランス語１,足立 和彦
243,111118,フランス語１,小田 麻里名
244,111119,フランス語１,植田 裕志
245,111120,中国語１,仲 曄慶
246,111121,中国語１,周 国龍
247,111122,中国語１,陳 志平
248,111123,中国語１,陶山 宗幸
249,111124,中国語１,坂井田 ひとみ
250,111126,英語講読１,田中 一穂
251,111133,外国文学１,足立 和彦
252,111134,会計学１,加藤 久也
253,111136,英会話１,MARSHALL Michael
254,111141,外国文学１,足立 和彦
255,111142,会計学１,加藤 久也
256,111143,英会話１,MARSHALL Michael
257,111144,実践英語１,田中 一穂
258,111145,実践英語１,山田 豊
259,111146,実践英語１,戸谷 鉱一
260,111147,実践英語１,萩 三恵
261,111148,実践英語１,田中 晴紀
262,111149,実践英語１,PARSONS JOHN
263,111150,実践英語１,中嶋 こずえ
264,111151,実践英語１,子安 惠子
265,111152,実践英語１,田中 一穂
266,111153,実践英語１,山田 豊
267,111154,実践英語１,戸谷 鉱一
268,111155,実践英語１,萩 三恵
269,111156,実践英語１,田中 晴紀
270,111157,実践英語１,PARSONS JOHN
271,111158,実践英語１,中嶋 こずえ
272,111159,実践英語１,子安 惠子
273,111162,情報リテラシー１,渡辺 凡夫
274,111165,論理的思考法,猿爪 雅治
275,111166,日本史,平野 岳美
276,111167,外国史,仲山 茂
277,111170,論理的思考法,藤川 誠二
278,111171,外国史,大橋 真砂子
279,111173,法学入門,滝谷 英幸
280,111175,倫理学１,小林 智
281,111176,情報リテラシー１,中島 俊明
282,111177,英会話１,NORTH Cameron
283,111178,法学入門,仮屋 篤子
284,111186,倫理学１,星 揚一郎
285,111187,英会話１,NORTH Cameron
286,111188,英語講読１,久米 祐介
287,111189,英語講読１,赤塚 麻里
288,111190,英語講読１,高橋 由紀
289,111191,英語講読１,井土 康仁
290,111192,英語講読１,菅原 裕子
291,111193,英語講読１,松原 知津子
292,111194,英語講読１,久米 祐介
293,111195,英語講読１,赤塚 麻里
294,111196,英語講読１,高橋 由紀
295,111197,英語講読１,井土 康仁
296,111198,英語講読１,菅原 裕子
297,111199,英語講読１,松原 知津子
298,111205,日本史,長屋 隆幸
299,111206,情報リテラシー１,鈴木 知多男
300,111207,情報リテラシー１,中島 俊明
301,111208,英会話１,GREENE Scott
302,111209,英会話１,PARSONS JOHN
303,111213,特設科目B （中国法文化１）,松田 恵美子
304,111214,英会話１,GREENE Scott
305,111215,英会話１,PARSONS JOHN
306,111219,社会学１,髙橋 聡
307,111223,社会学１,髙橋 聡
308,111224,情報リテラシー１,丹羽 淳一
309,111225,ドイツ語３,神谷 貴子
310,111226,ドイツ語３,村元 麻衣
311,111227,ドイツ語３,神谷 美砂子
312,111228,フランス語３,田崎 明子
313,111229,フランス語３,長谷川 洋
314,111230,フランス語３,大口 嘉介
315,111231,中国語３,方 暁娟
316,111232,中国語３,坂井田 ひとみ
317,111233,中国語３,仲 曄慶
318,111234,中国語３,王 莉莎
319,111235,中国語３,徐 春陽
320,111238,英会話１,GREENE Scott
321,111239,ドイツ語３,神谷 貴子
