,講義コード,講義名,担当者名
0,211112,英語（リーディング）１（Ｄ）,廣瀬 聡美
1,211150,人間と環境（Ａ～Ｇ）,相川 奈美|東 正志|桑島 薫|澤田 慎治|澤田 貴之|瀬川 新一|田澤 宗裕|長尾 晃宏|新美 潤一郎|橋場 俊展|堀川 新吾|槇野 均|村上 広一|柳田 純也
2,211512,英語（リーディング）２（Ｄ）,廣瀬 聡美
3,211552,フランス語初級２,堀畑 正樹
4,212111,マーケティング戦略論【2年次】,山岡 隆志
5,212532,ワーク・ライフ・バランス論【2年次】,五十畑 浩平
6,213119,マーケティング戦略論【3年次以上】,山岡 隆志
7,213129,サービス・マーケティング論,山岡 隆志
8,213509,プロダクト・デザイン実習,澤田 慎治
9,213511,プロダクト・デザイン実習,澤田 慎治
10,213530,現代企業論【3年次以上】,瀬川 新一
11,211021,基礎ゼミナール【再】,宮崎 信二
12,211022,日本語４,向井 淑子
13,211023,日本語２,久野 伊津子
14,211024,日本語３,小野 純一
15,211025,日本語１,小野 純一
16,211026,基礎ゼミナール,山岡 隆志
17,211027,基礎ゼミナール,瀬川 新一
18,211101,情報処理実習（Ａ～Ｃ）,藤井 俊明
19,211102,情報処理実習（Ｄ・Ｅ）,中島 俊明
20,211106,英語（リーディング）１（Ｇ）,大達 誉華
21,211107,英語（リーディング）１（Ｈ）,石塚 杏樹
22,211110,英語（リーディング）１（Ｂ）,堀 江里香
23,211114,情報処理実習（Ｆ・Ｇ）,藤井 俊明
24,211115,情報処理実習（Ｈ・Ｉ）,中島 俊明
25,211116,現象と論理,岩本 朋大
26,211118,健康科学論,石田 直章
27,211121,日本国憲法,日比 拓也
28,211122,英語（リーディング）１【再】,重藤 智美
29,211124,基本簿記【経営学部1年次：偶数クラス】,田代 樹彦|山下 卓哉
30,211125,基本簿記【経営学部1年次：奇数クラス】,田代 樹彦|山下 卓哉
31,211128,英語（リーディング）１（Ａ）,柴 麻己子
32,211130,英語（リーディング）１（Ｃ）,山口 佐和子
33,211132,英語（リーディング）１（Ｅ）,大達 誉華
34,211133,英語（リーディング）１（Ｆ）,菅原 裕子
35,211136,英語（リーディング）１（Ｉ）,鬼頭 修
36,211138,ドイツ語入門１,木股 錬治
37,211143,中国語入門２,ｹｲ 桂芝
38,211144,中国語入門２,徐 春陽
39,211145,中国語入門２,張 静萱
40,211146,中国語入門２,張 書涵
41,211151,基本簿記【2年次以上】,田代 樹彦|深谷 善治
42,211152,ドイツ語入門２,山田 やす子
43,211154,ハングル入門２,金 奈淑
44,211155,フランス語入門２,植田 裕志
45,211156,フランス語入門２,山口 憲男
46,211157,中国語入門１,丸尾 誠
47,211158,中国語入門１,前田 光子
48,211159,中国語入門１,龍神 邦男
49,211160,中国語入門１,渡辺 幸彦
50,211162,（特２）実践簿記論１,田代 樹彦|深谷 善治
51,211501,プログラミング実習（Ａ～Ｃ）,丹羽 直美
52,211502,プログラミング実習（Ｄ・Ｅ）,中島 俊明
53,211503,健康・スポーツ科学２（Ｆ～Ｉ）,石垣 享|石田 直章|小林 洋平|槇野 均
54,211504,健康・スポーツ科学２（Ａ～Ｅ）,石垣 享|石田 直章|小林 洋平|槇野 均
55,211506,英語（リーディング）２（Ｇ）,大達 誉華
56,211507,英語（リーディング）２（Ｈ）,石塚 杏樹
57,211510,英語（リーディング）２（Ｂ）,堀 江里香
58,211514,プログラミング実習（Ｆ・Ｇ）,丹羽 直美
59,211515,プログラミング実習（Ｈ・Ｉ）,中島 俊明
60,211516,数と論理,岩本 朋大
61,211520,英語（リーディング）２【再】,重藤 智美
62,211523,英語（リーディング）２（Ａ）,柴 麻己子
63,211525,英語（リーディング）２（Ｃ）,山口 佐和子
64,211527,英語（リーディング）２（Ｅ）,大達 誉華
65,211528,英語（リーディング）２（Ｆ）,菅原 裕子
66,211531,英語（リーディング）２（Ｉ）,鬼頭 修
67,211532,フランス語初級１,井出 勉
68,211533,ドイツ語初級１,木股 錬治
69,211535,中国語初級２,ｹｲ 桂芝
70,211536,中国語初級２,徐 春陽
71,211537,中国語初級２,張 静萱
72,211538,中国語初級２,張 書涵
73,211539,フランス語初級１,山口 憲男
74,211546,ジェンダーと社会,山口 佐和子
75,211550,生命の多様性,山岸 健三
76,211553,ハングル初級２,金 由那
77,211554,ドイツ語初級２,山田 やす子
78,211555,中国語初級１,丸尾 誠
79,211556,中国語初級１,前田 光子
