,講義コード,講義名,担当者名
0,211150,人間と環境（Ａ～Ｇ）,相川 奈美|東 正志|桑島 薫|澤田 慎治|澤田 貴之|瀬川 新一|田澤 宗裕|長尾 晃宏|新美 潤一郎|橋場 俊展|堀川 新吾|槇野 均|村上 広一|柳田 純也
1,213530,現代企業論【3年次以上】,瀬川 新一
2,211021,基礎ゼミナール【再】,宮崎 信二
3,211022,日本語４,向井 淑子
4,211023,日本語２,久野 伊津子
5,211024,日本語３,小野 純一
6,211025,日本語１,小野 純一
7,211026,基礎ゼミナール,山岡 隆志
8,211027,基礎ゼミナール,瀬川 新一
9,211116,現象と論理,岩本 朋大
10,211118,健康科学論,石田 直章
11,211121,日本国憲法,日比 拓也
12,211122,英語（リーディング）１【再】,重藤 智美
13,211124,基本簿記【経営学部1年次：偶数クラス】,田代 樹彦|山下 卓哉
14,211125,基本簿記【経営学部1年次：奇数クラス】,田代 樹彦|山下 卓哉
15,211151,基本簿記【2年次以上】,田代 樹彦|深谷 善治
16,211154,ハングル入門２,金 奈淑
17,211162,（特２）実践簿記論１,田代 樹彦|深谷 善治
18,211516,数と論理,岩本 朋大
19,211520,英語（リーディング）２【再】,重藤 智美
20,211546,ジェンダーと社会,山口 佐和子
21,211550,生命の多様性,山岸 健三
22,211553,ハングル初級２,金 由那
23,211560,ハングル初級２,金 奈淑
24,211561,（特２）実践簿記論２,田代 樹彦|深谷 善治
25,211562,情報社会と倫理,村上 広一
26,211563,物質の成り立ち,髙谷 芳明
27,211999,海外語学実習,経営学部長
28,212101,英語（コミュニケーション）中級１,HOARE Peter A.
29,212105,英語（リーディング）３,堀 江里香
30,212107,英語（リーディング）３,大達 誉華
31,212109,健康・スポーツ科学３（トレーニング）,坂本 太一
32,212114,ドイツ語応用１,木股 錬治
33,212117,英語（コミュニケーション）中級１,HOARE Peter A.
34,212118,健康・スポーツ科学３（フットサル）,内山 明
35,212120,健康・スポーツ科学３（バドミンドン）,内山 明
36,212121,中国語オーラルコミュニケーション（初級）１,王 喜云
37,212122,ドイツ語オーラルコミュニケーション（初級）１,NIERS MARTIN WILHELM
38,212124,ハングルオーラルコミュニケーション（初級）１,李 芝賢
39,212125,中国語オーラルコミュニケーション（初級）１,王 喜云
40,212126,中国語オーラルコミュニケーション（初級）１【ＨＳＫ２級対策】,董 紅俊
41,212127,英語（コミュニケーション）中級１,Van Horn George
42,212128,英語（リーディング）３,伊藤 省三
43,212129,フランス語オーラルコミュニケーション（初級）１,Xavier Vurpillot
44,212133,ハングル応用１,金 由那
45,212134,中国語応用１,杉江 叔子
46,212135,英語（リーディング）３,重藤 智美
