,講義コード,講義名,担当者名
0,231113,英語１（Ｃ）,小泉 直
1,231123,英語２（Ｃ）,小泉 直
2,231205,フランス語３,堀畑 正樹
3,231305,マクロ経済学入門（再履修者）,焼田 紗
4,232179,英語７（Ｉ）,Frazer Smith
5,242810,サービス経済論,山本 雄吾
6,211547,基本簿記【2年次以上】※経営学部1年次再履修,田代 樹彦|髙島 健司
7,222516,アメリカ経済論,名和 洋人
8,231013,文化人類学の世界,杉尾 浩規
9,231014,哲学,竹内 章郎
10,231015,倫理学,竹内 章郎
11,231016,心の科学,重村 正之
12,231017,宗教の世界,平野 克典
13,231032,法と社会,村上 広一
14,231033,経営と社会,東 正志
15,231034,政治と社会,小林 正嗣
16,231035,社会学,岸川 富士夫
17,231036,ジェンダーと社会,神野 圭介|蓑輪 明子
18,231041,地球と宇宙,池森 均
19,231042,物質の成り立ち,髙谷 芳明
20,231043,生命の多様性,山岸 健三
21,231044,数と論理,岩本 朋大
22,231045,現象と論理,岩本 朋大
23,231048,コンピュータリテラシー,佐藤 ひとみ
24,231049,情報活用リテラシー,佐藤 ひとみ
25,231050,コンピュータリテラシー,秋月 久見子
26,231051,コンピュータリテラシー,秋月 久見子
27,231052,コンピュータリテラシー,秋月 久見子
28,231053,コンピュータリテラシー,佐藤 ひとみ
29,231054,コンピュータリテラシー,佐藤 ひとみ
30,231055,情報活用リテラシー,秋月 久見子
31,231056,情報活用リテラシー,秋月 久見子
32,231057,情報活用リテラシー,佐藤 ひとみ
33,231058,情報活用リテラシー,佐藤 ひとみ
34,231059,情報社会と倫理,村上 広一
35,231060,情報活用リテラシー,秋月 久見子
36,231061,キャリア形成論,小柳津 久美子
37,231071,教養演習１（日本語表現）,山田 永
38,231081,健康・スポーツ科学１（火１）,内山 明|坂本 太一|永田 淳|小泉 和也
39,231082,健康・スポーツ科学１（火２）,内山 明|坂本 太一|永田 淳|小泉 和也
40,231083,健康・スポーツ科学２（火１）,内山 明|坂本 太一|永田 淳|小泉 和也
41,231084,健康・スポーツ科学２（火２）,内山 明|坂本 太一|永田 淳|小泉 和也
42,231111,英語１（Ａ）,菅原 裕子
43,231112,英語１（Ｂ）,廣瀬 聡美
44,231114,英語１（Ｄ）,森岡 稔
45,231115,英語１（Ｅ）,大達 誉華
46,231116,英語１（Ｆ）,古田 雪子
