,講義コード,講義名,担当者名
0,211547,基本簿記【2年次以上】※経営学部1年次再履修,田代 樹彦|髙島 健司
1,222516,アメリカ経済論,名和 洋人
2,231013,文化人類学の世界,杉尾 浩規
3,231014,哲学,竹内 章郎
4,231015,倫理学,竹内 章郎
5,231016,心の科学,重村 正之
6,231017,宗教の世界,平野 克典
7,231032,法と社会,村上 広一
8,231033,経営と社会,東 正志
9,231034,政治と社会,小林 正嗣
10,211547,基本簿記【2年次以上】※経営学部1年次再履修,田代 樹彦|髙島 健司
11,222516,アメリカ経済論,名和 洋人
12,231013,文化人類学の世界,杉尾 浩規
13,231014,哲学,竹内 章郎
14,231015,倫理学,竹内 章郎
15,231016,心の科学,重村 正之
16,231017,宗教の世界,平野 克典
17,231032,法と社会,村上 広一
18,231033,経営と社会,東 正志
19,231034,政治と社会,小林 正嗣
20,231035,社会学,岸川 富士夫
21,231036,ジェンダーと社会,神野 圭介|蓑輪 明子
22,231041,地球と宇宙,池森 均
23,231042,物質の成り立ち,髙谷 芳明
24,231043,生命の多様性,山岸 健三
25,231044,数と論理,岩本 朋大
26,231045,現象と論理,岩本 朋大
27,231048,コンピュータリテラシー,佐藤 ひとみ
28,231049,情報活用リテラシー,佐藤 ひとみ
29,231050,コンピュータリテラシー,秋月 久見子
30,231051,コンピュータリテラシー,秋月 久見子
31,231052,コンピュータリテラシー,秋月 久見子
32,231053,コンピュータリテラシー,佐藤 ひとみ
33,231054,コンピュータリテラシー,佐藤 ひとみ
34,231055,情報活用リテラシー,秋月 久見子
35,231056,情報活用リテラシー,秋月 久見子
36,231057,情報活用リテラシー,佐藤 ひとみ
37,231058,情報活用リテラシー,佐藤 ひとみ
38,231059,情報社会と倫理,村上 広一
39,231060,情報活用リテラシー,秋月 久見子
40,231061,キャリア形成論,小柳津 久美子
41,231071,教養演習１（日本語表現）,山田 永
42,231120,英語１（再）,三原 穂
43,231150,英語４（コミュニケーション）（再）,Heather Doiron
44,231221,ドイツ語１,山田 やす子
45,231222,ドイツ語２,木股 錬治
46,231223,ドイツ語３,山田 やす子
47,231224,ドイツ語４,木股 錬治
48,231261,ハングル１,李 芝賢
49,231263,ハングル３,李 芝賢
50,231264,ハングル４,金 由那
51,231281,日本語１,小野 純一
52,231282,日本語２,久野 伊津子
53,231283,日本語３,小野 純一
54,231284,日本語４,向井 淑子
55,231291,スペイン語初級１,櫻井 里香
56,231292,スペイン語初級２,櫻井 里香
57,231300,マクロ経済学入門（再履修者）,焼田 紗
58,231307,経済史総論１,折原 卓美
59,231308,経済史総論２,折原 卓美
60,231310,基本簿記（2年次以上）,田代 樹彦|深谷 善治
61,231311,基本簿記（2年次以上）,田代 樹彦|髙島 健司
62,231313,経済数学２,鈴木 知多男
63,231401,基礎ゼミナール,新井 大輔
64,231402,基礎ゼミナール,伊藤 健司
65,231403,基礎ゼミナール,李 秀澈
66,231404,基礎ゼミナール,井内 尚樹
67,231405,基礎ゼミナール,太田 志乃
68,231406,基礎ゼミナール,大瀧 真俊
69,231407,基礎ゼミナール,折原 卓美
70,231408,基礎ゼミナール,川森 智彦
71,231409,基礎ゼミナール,岸川 富士夫
72,231410,基礎ゼミナール,岸野 和郎
73,231411,基礎ゼミナール,小泉 和也
74,231412,基礎ゼミナール,斎藤 智美
75,231413,基礎ゼミナール,渋井 康弘
76,231415,基礎ゼミナール,神野 圭介
77,231416,基礎ゼミナール,名和 洋人
78,231417,基礎ゼミナール,松尾 秀雄
79,231418,基礎ゼミナール,蓑輪 明子
80,231419,基礎ゼミナール,山本 雄吾
81,231420,基礎ゼミナール,焼田 紗
82,231501,社会フィールドワーク１,太田 志乃|渋井 康弘
83,231502,社会フィールドワーク１,佐土井 有里
84,231503,社会フィールドワーク１,井内 尚樹|西山 賢一
85,231504,社会フィールドワーク１,伊藤 健司
86,231505,社会フィールドワーク１,神野 圭介
87,231506,社会フィールドワーク１,井内 尚樹|西山 賢一
88,231507,社会フィールドワーク１,大瀧 真俊
89,231508,社会フィールドワーク１,太田 志乃
90,231562,海外語学実習（単位認定）,経済学部長
91,232051,情報処理入門,中島 俊明
92,232081,健康・スポーツ科学３(トレーニング),坂本 太一
93,232082,健康・スポーツ科学３(フットサル),内山 明
94,232083,健康・スポーツ科学３(バドミントン),内山 明
95,232084,健康・スポーツ科学４(バスケットボール),坂本 太一
96,232085,健康・スポーツ科学４(卓球),内山 明
97,232086,健康・スポーツ科学４(バドミントン),内山 明
98,232087,健康・スポーツ科学５（スキューバ）,槇野 均|小泉 和也
99,232088,健康・スポーツ科学５(スキー),槇野 均|小泉 和也
100,232089,健康科学論１,石田 直章
101,232160,英語５（再）,山添 直樹
102,232170,英語６（再）,山添 直樹
103,232180,英語７（再）,PARSONS JOHN
104,232190,英語８（再）,PARSONS JOHN
105,232451,外国書講読ゼミナール１,谷村 光浩
