,講義コード,講義名,担当者名
0,631304,アカデミック・イングリッシュⅠ,Murray Aya
1,632806,基礎演習Ⅳ,豊田 周子
2,634413,ゼミナールⅢ,萩藤 大明
3,634412,ゼミナールⅢ,宮下 大夢
4,634813,ゼミナールⅣ,萩藤 大明
5,634812,ゼミナールⅣ,宮下 大夢
6,631111,健康･スポーツ科学Ⅰ,冨岡 徹|矢野 裕介
7,631112,健康･スポーツ科学Ⅰ,冨岡 徹|矢野 裕介
8,631201,英語コミュニケーションⅠ(基礎1),MINEHANE GREGORY J.
9,631203,英語コミュニケーションⅠ(基礎1),Rogers James Martin
10,631204,英語コミュニケーションⅠ(基礎1),Dickinson Paul David
11,631205,英語コミュニケーションⅠ(基礎1),Roth Ian Matthew
12,631206,英語コミュニケーションⅠ(基礎1),HALL JEREMIAH L
13,631207,英語コミュニケーションⅠ(基礎1),BOYES NICHOLAS L
14,631208,英語コミュニケーションⅠ(基礎1),Gallagher Brian
15,631209,英語コミュニケーションⅠ(基礎1),児玉 恵太
16,631212,英語リーディングⅠ(基礎1),WICKING PAUL DAVID
17,631213,英語リーディングⅠ(基礎1),Murray Aya
18,631214,英語リーディングⅠ(基礎1),山口 篤美
19,631215,英語リーディングⅠ(基礎1),Dickinson Paul David
20,631216,英語リーディングⅠ(基礎1),Roth Ian Matthew
21,631217,英語リーディングⅠ(基礎1),HALL JEREMIAH L
22,631218,英語リーディングⅠ(基礎1),OGURA Fleur D.
23,631221,英語ライティングⅠ(基礎1),西尾 由里
24,631222,英語ライティングⅠ(基礎1),WICKING PAUL DAVID
25,631224,英語ライティングⅠ(基礎1),Murray Aya
26,631225,英語ライティングⅠ(基礎1),Dickinson Paul David
27,631226,英語ライティングⅠ(基礎1),Gallagher Brian
28,631227,英語ライティングⅠ(基礎1),OGURA Fleur D.
29,631228,英語ライティングⅠ(基礎1),児玉 恵太
30,631229,英語ライティングⅠ(基礎1),山口 篤美
31,631232,英語ディスカッションⅠ(基礎1),Murray Aya
32,631233,英語ディスカッションⅠ(基礎1),Roth Ian Matthew
33,631234,英語ディスカッションⅠ(基礎1),BOYES NICHOLAS L
34,631235,英語ディスカッションⅠ(基礎1),Gallagher Brian
35,631236,英語ディスカッションⅠ(基礎1),児玉 恵太
36,631237,英語ディスカッションⅠ(基礎1),Iwaskow Roman
37,631238,英語ディスカッションⅠ(基礎1),OGURA Fleur D.
38,631303,アジアを学ぶ,宮下 大夢
39,631401,基礎演習Ⅰ,萩藤 大明
40,631403,基礎演習Ⅰ,藤原 康弘
41,631404,基礎演習Ⅰ,岩井 眞實
42,631405,基礎演習Ⅰ,柳沢 秀郎
43,631406,基礎演習Ⅰ,冨岡 徹
44,631407,基礎演習Ⅰ,西尾 由里
45,631408,基礎演習Ⅰ,池 沙弥
46,631409,基礎演習Ⅰ,津村 文彦
47,631410,基礎演習Ⅰ,藤田 衆
48,631411,基礎演習Ⅰ,二神 真美
49,631412,基礎演習Ⅰ,宮下 大夢
50,631508,情報社会と倫理,秋月 久見子
51,631509,健康･スポーツ科学Ⅱ,冨岡 徹|矢野 裕介
52,631510,健康･スポーツ科学Ⅱ,冨岡 徹|矢野 裕介
53,631511,日本とグローバル人材,藤田 衆
54,631601,英語コミュニケーションⅡ(基礎2),MINEHANE GREGORY J.
55,631603,英語コミュニケーションⅡ(基礎2),Rogers James Martin
56,631604,英語コミュニケーションⅡ(基礎2),Dickinson Paul David
57,631605,英語コミュニケーションⅡ(基礎2),Roth Ian Matthew
58,631606,英語コミュニケーションⅡ(基礎2),HALL JEREMIAH L
59,631607,英語コミュニケーションⅡ(基礎2),BOYES NICHOLAS L
60,631608,英語コミュニケーションⅡ(基礎2),Gallagher Brian
61,631609,英語コミュニケーションⅡ(基礎2),児玉 恵太
62,631612,英語リーディングⅡ(基礎2),WICKING PAUL DAVID
63,631613,英語リーディングⅡ(基礎2),Murray Aya
64,631614,英語リーディングⅡ(基礎2),山口 篤美
65,631615,英語リーディングⅡ(基礎2),Dickinson Paul David
66,631616,英語リーディングⅡ(基礎2),Roth Ian Matthew
67,631617,英語リーディングⅡ(基礎2),HALL JEREMIAH L
68,631618,英語リーディングⅡ(基礎2),OGURA Fleur D.
69,631621,英語ライティングⅡ(基礎2),西尾 由里
70,631622,英語ライティングⅡ(基礎2),WICKING PAUL DAVID
71,631624,英語ライティングⅡ(基礎2),Murray Aya
72,631625,英語ライティングⅡ(基礎2),Dickinson Paul David
73,631626,英語ライティングⅡ(基礎2),Gallagher Brian
74,631627,英語ライティングⅡ(基礎2),OGURA Fleur D.
75,631628,英語ライティングⅡ(基礎2),児玉 恵太
76,631629,英語ライティングⅡ(基礎2),山口 篤美
77,631632,英語ディスカッションⅡ(基礎2),Murray Aya
78,631633,英語ディスカッションⅡ(基礎2),Roth Ian Matthew
79,631634,英語ディスカッションⅡ(基礎2),BOYES NICHOLAS L
80,631635,英語ディスカッションⅡ(基礎2),Gallagher Brian
81,631636,英語ディスカッションⅡ(基礎2),児玉 恵太
82,631637,英語ディスカッションⅡ(基礎2),Iwaskow Roman
83,631638,英語ディスカッションⅡ(基礎2),OGURA Fleur D.
84,631801,基礎演習Ⅱ,宮下 大夢
85,631811,基礎演習Ⅱ,萩藤 大明
86,632103,生命の多様性,横山 悠理
87,632106,インターンシップ,藤原 康弘
88,632202,英語コミュニケーションⅢ(応用1),宮崎 新
89,632203,英語コミュニケーションⅢ(応用1),山口 篤美
90,632204,英語コミュニケーションⅢ(応用1),Dickinson Paul David
91,632205,英語コミュニケーションⅢ(応用1),Roth Ian Matthew
92,632206,英語コミュニケーションⅢ(応用1),HALL JEREMIAH L
93,632207,英語コミュニケーションⅢ(応用1),BOYES NICHOLAS L
94,632212,英語リーディングⅢ(応用1),柳沢 秀郎
95,632213,英語リーディングⅢ(応用1),Dickinson Paul David
96,632214,英語リーディングⅢ(応用1),山口 篤美
97,632215,英語リーディングⅢ(応用1),HALL JEREMIAH L
98,632216,英語リーディングⅢ(応用1),加藤 普由子
99,632217,英語リーディングⅢ(応用1),OGURA Fleur D.
100,632221,英語ライティングⅢ(応用1),藤原 康弘
