,講義コード,講義名,担当者名
0,622175,文献講読Ａ,安藤 喜代美
1,622176,文献講読Ｂ,畑中 美穂
2,621001,日本語１,小野 純一
3,621002,日本語２,小野 純一
4,621101,英語基礎１（リーディング）,山田 幸代
5,621102,英語基礎１（リーディング）,大橋 千暁
6,621103,英語基礎１（リーディング）,有為楠 香
7,621104,英語基礎１（リーディング）,鈴木 朋子
8,621106,英語基礎２（リスニング）,BARNES TIMOTHY J
9,621107,英語基礎２（リスニング）,Ricart Michael Edmar
10,621108,英語基礎２（リスニング）,THOMAS GARETH
11,621109,英語基礎２（リスニング）,Molnar John Andras
12,621110,英語基礎２（リスニング）,WESTBY JOHN CARL
13,621111,キャリア形成論,中島 愛子
14,621112,中国語入門（旧カリ名称：中国語入門１）,船田 秀佳
15,621113,フランス語入門（旧カリ名称：フランス語入門１）,井出 勉
16,621114,人間とデザイン,水尾 衣里
17,621115,キャリア形成論,中島 愛子
18,621116,健康・スポーツ科学１（フットサル）,千葉 洋平
19,621117,健康・スポーツ科学１（バドミントン）,冨岡 徹
20,621118,ハングル入門（旧カリ名称：ハングル入門１）,金 由那
21,621119,キャリア形成論,中島 愛子
22,621120,健康・スポーツ科学１（バドミントン）,冨岡 徹
23,621121,健康・スポーツ科学１（フットサル）,千葉 洋平
24,621122,英語基礎２（リスニング）【再】,Polzin Steven John
25,621123,英語基礎２（コミュニケーション）【再】【旧カリ】,Polzin Steven John
26,621124,基礎ゼミナール,笠井 尚
27,621126,基礎ゼミナール,一ノ谷 清美
28,621127,自己と社会,櫻井 龍彦
29,621128,健康・スポーツ科学１（バレーボール）,黒田 真二
30,621129,ドイツ語入門（旧カリ名称：ドイツ語入門１）,木股 錬治
31,621130,英語基礎１（リーディング）【再】,WESTBY JOHN CARL
32,621131,英語基礎１（コミュニケーション）【再】【旧カリ】,WESTBY JOHN CARL
33,621132,発達心理学,大嶽 さと子
34,621133,文化人類学の世界,山口 亮太
35,621134,経済と社会,赤木 博文
36,621135,健康・スポーツ科学１（バスケットボール）,黒田 真二
37,621136,外国史,西村 善矢
38,621137,国際文化論,加藤 昌弘
39,621138,生徒・進路指導論,大嶽 さと子
40,621139,生命倫理入門,金澤 智
41,621140,コンピュータリテラシー,丹羽 直美
42,621141,健康・スポーツ科学１（バドミントン）,黒田 真二
43,621142,健康・スポーツ科学１（卓球）,星野 秀樹
44,621143,コミュニケーション論,岡戸 浩子
45,621144,コンピュータリテラシー,丹羽 直美
46,621145,健康・スポーツ科学１（卓球）,星野 秀樹
47,621146,環境人間学,谷口 義則
48,621147,都市と人間,福本 雅之
49,621148,基礎ゼミナール,志村 ゆず
50,621149,基礎ゼミナール,伊藤 俊一
51,621150,基礎ゼミナール,和田 実
52,621151,基礎ゼミナール,神谷 俊次
53,621152,心理学概論,伊藤 康児
54,621153,人間学総論,一ノ谷 清美|伊藤 俊一|WESTBY JOHN CARL|笠井 尚|加藤 昌弘|神谷 俊次|志村 ゆず|西村 善矢|原田 知佳|水尾 衣里|谷口 義則
55,621154,心理学概論,伊藤 康児
56,621155,人間学総論,一ノ谷 清美|伊藤 俊一|WESTBY JOHN CARL|笠井 尚|加藤 昌弘|神谷 俊次|志村 ゆず|西村 善矢|原田 知佳|水尾 衣里|谷口 義則
57,621156,文学と人間,山田 永
58,621157,現代社会論,安藤 喜代美
59,621158,キャリア形成論,中島 愛子
60,621159,発達心理学,原田 知佳
61,621160,教養演習,山田 永
62,621161,感情・人格心理学（旧カリ名称：性格心理学）,畑中 美穂
63,621162,感情・人格心理学（旧カリ名称：性格心理学）,畑中 美穂
64,621163,自然地理学,稲垣 建志
65,621164,環境人間学,水尾 衣里
66,621165,基礎ゼミナール,船田 秀佳
67,621166,基礎ゼミナール,伊藤 康児
68,621167,基礎ゼミナール,塩﨑 万里
69,621168,基礎ゼミナール,加藤 昌弘
70,621169,基礎ゼミナール,宮嶋 秀光
71,621170,基礎ゼミナール,岡戸 浩子
72,621171,基礎ゼミナール,櫻井 龍彦
73,621172,基礎ゼミナール,水尾 衣里
74,621173,基礎ゼミナール,安藤 喜代美
75,621174,基礎ゼミナール,谷口 義則
76,621176,英語基礎１（リーディング）,服部 茂
77,621177,英語基礎１（リーディング）,大橋 千暁
78,621178,英語基礎１（リーディング）,半井 尚美
79,621179,英語基礎１（リーディング）,鈴木 朋子
80,621180,英語基礎１（リーディング）,石田 理可
81,621181,英語基礎２（リスニング）,THOMAS GARETH
82,621182,英語基礎２（リスニング）,BUCSIS CONRAD
83,621183,英語基礎２（リスニング）,Polzin Steven John
84,621184,英語基礎２（リスニング）,Ricart Michael Edmar
85,621185,英語基礎２（リスニング）,WESTBY JOHN CARL
86,621186,現代に生きる,安藤 喜代美|大瀧 真俊|加藤 昌弘|加茂 省三|櫻井 龍彦|谷口 義則|西村 善矢|広瀬 正史|山岸 健三|宮嶋 秀光|森 龍太
87,621187,中国語入門（旧カリ名称：中国語入門１）,蟹江 静夫
88,621188,スペイン語入門（旧カリ名称：スペイン語初級１）,櫻井 里香
89,621189,生命の多様性,横山 悠理
90,621190,教育心理学,伊藤 康児
91,621191,歴史と文化,武内 剛
92,621192,公認心理師の職責,塩﨑 万里
93,621193,情報社会と倫理,秋月 久見子
94,621195,コンピュータリテラシー,秋月 久見子
95,621196,哲学,小林 智
96,621197,コンピュータリテラシー,秋月 久見子
97,621198,法と社会,細川 壮平
98,621199,基礎ゼミナール,畑中 美穂
99,621200,基礎ゼミナール,西村 善矢
100,621201,基礎ゼミナール,原田 知佳
101,621501,英語初級１－１（リーディング）,山田 幸代
102,621502,英語初級１－１（リーディング）,大橋 千暁
103,621503,英語初級１－１（リーディング）,有為楠 香
104,621504,英語初級１－１（リーディング）,鈴木 朋子
105,621506,英語初級１－２（リスニング）,Ricart Michael Edmar
106,621507,英語初級１－２（リスニング）,BARNES TIMOTHY J
107,621508,英語初級１－２（リスニング）,THOMAS GARETH
108,621509,英語初級１－２（リスニング）,Molnar John Andras
109,621510,英語初級１－２（リスニング）,WESTBY JOHN CARL
110,621511,政治と社会,昇 秀樹
111,621512,英語文学史,一ノ谷 清美
112,621513,言語文化論,船田 秀佳
113,621514,フランス語応用（旧カリ名称：フランス語応用１）,井出 勉
114,621515,健康・スポーツ科学２（バドミントン）,冨岡 徹
115,621516,地域文化論,伊藤 俊一
116,621517,健康・スポーツ科学２（フットサル）,千葉 洋平
117,621518,ハングル応用（旧カリ名称：ハングル応用１）,金 由那
118,621519,健康・スポーツ科学２（バドミントン）,冨岡 徹
119,621520,健康・スポーツ科学２（フットサル）,千葉 洋平
120,621521,英語初級１－２（リスニング）【再】,Polzin Steven John
121,621522,英語初級１－２（コミュニケーション）【再】【旧カリ】,Polzin Steven John
122,621523,健康・スポーツ科学２（バレーボール）,黒田 真二
123,621524,イングリッシュ・コミュニケーション,WESTBY JOHN CARL
124,621525,ドイツ語応用（旧カリ名称：ドイツ語応用１）,木股 錬治
125,621526,海外体験入門,谷口 義則
126,621527,ボランティア入門,向井 忍
127,621528,健康・スポーツ科学２（バスケットボール）,黒田 真二
128,621529,フィールドワーク入門,加藤 英明
129,621530,健康・スポーツ科学２（バドミントン）,黒田 真二
130,621531,健康・スポーツ科学２（卓球）,星野 秀樹
131,621532,国際関係論,加茂 省三
132,621533,情報活用リテラシー,丹羽 直美
133,621534,健康・スポーツ科学２（卓球）,星野 秀樹
134,621535,家族社会学,安藤 喜代美
135,621537,情報活用リテラシー,丹羽 直美
136,621538,数と論理,山谷 克
137,621539,地球と宇宙,野田 学|毛利 勝廣
138,621540,社会学概論,櫻井 龍彦
139,621541,国際コミュニケーション概論,岡戸 浩子
140,621542,社会学概論,櫻井 龍彦
141,621543,国際コミュニケーション概論,岡戸 浩子
