,講義コード,講義名,担当者名
0,611001,日本語１,小野 純一
1,611002,日本語２,小野 純一
2,611101,数学の基礎A-１,宇野 隆
3,611102,ジェンダーと社会,竹内 愛
4,611103,人間と社会の演習,酒井 順哉
5,611104,哲学,井上 研
6,611105,都市と文化,小川 知弘
7,611106,健康・スポーツ科学１（バドミントン）,冨岡 徹
8,611107,健康・スポーツ科学１（フットサル）,千葉 洋平
9,611108,健康・スポーツ科学１（バドミントン）,冨岡 徹
10,611109,健康・スポーツ科学１（フットサル）,千葉 洋平
11,611110,フランス語入門１,山口 憲男
12,611111,ドイツ語入門１,木股 錬治
13,611112,健康・スポーツ科学１（バレーボール）,黒田 真二
14,611113,経済と社会,赤木 博文
15,611114,フランス語初級１,山口 憲男
16,611115,ドイツ語初級１,木股 錬治
17,611116,健康・スポーツ科学１（バスケットボール）,黒田 真二
18,611117,健康・スポーツ科学１（バドミントン）,黒田 真二
19,611118,健康・スポーツ科学１（卓球）,星野 秀樹
20,611119,都市学英語１,鎌田 繁則
21,611120,都市学英語１,雑賀 憲彦
22,611121,都市学英語１,鈴木 淳生
23,611122,都市学英語１,昇 秀樹
24,611123,都市学英語１,福島 茂
25,611124,健康・スポーツ科学１（卓球）,星野 秀樹
26,611125,都市学英語１,赤木 博文
27,611126,都市学英語１,稲葉 千晴
28,611127,都市学英語１,杉浦 真一郎
29,611128,都市学英語１,若林 拓
30,611129,国際化時代の人間と社会,稲葉 千晴
31,611130,情報社会と倫理,御幸 英寛
32,611131,英語基礎１(リーディング),高野 洋子
33,611132,英語基礎１(コミュニケーション),ﾃﾚｻ ｶﾈﾝﾊﾞｰｸﾞ
34,611133,英語初級１-１(コミュニケーション),LYONS Michael
35,611134,英語初級１-１(コミュニケーション),MCKERNON ANDREW
36,611135,英語基礎１(リーディング),高野 洋子
37,611136,英語基礎１(コミュニケーション),ﾃﾚｻ ｶﾈﾝﾊﾞｰｸﾞ
38,611137,英語初級１-１(コミュニケーション),LYONS Michael
39,611138,英語初級２-１(コミュニケーション),MCKERNON ANDREW
40,611139,教養演習１（キャリア形成論）,新實 千恵里
41,611140,コンピュータ演習１(リテラシー),手嶋 正章|宇野 隆
42,611141,コンピュータ演習１(リテラシー),長島 正憲|森杉 雅史
43,611142,コンピュータ演習１(リテラシー),水野 隆文|宮本 由紀
44,611143,コンピュータ演習１(リテラシー),杉浦 伸|島田 康人
45,611144,教養演習１（キャリア形成論）,新實 千恵里
46,611145,コンピュータ演習１(リテラシー),小池 聡|鈴木 千文
47,611146,コンピュータ演習１(リテラシー),宮本 由紀|長島 正憲
48,611147,コンピュータ演習１(リテラシー),亀井 栄治|杉浦 伸
49,611148,人間と環境,森杉 雅史
50,611149,現象と論理,張 昇平
51,611150,英語基礎１(コミュニケーション),ﾃﾚｻ ｶﾈﾝﾊﾞｰｸﾞ
52,611151,英語基礎１(リーディング),森 なほみ
53,611152,英語初級１-１(リーディング),葛谷 明美
54,611153,英語初級１-１(リーディング),古田 雪子
55,611154,英語基礎１(コミュニケーション),ﾃﾚｻ ｶﾈﾝﾊﾞｰｸﾞ
56,611155,英語基礎１(リーディング),森 なほみ
57,611156,英語初級１-１(リーディング),古田 雪子
58,611157,英語初級２-１(リーディング),葛谷 明美
59,611158,歴史と文化,姜 海守
60,611159,コンピュータリテラシー,水野 隆文
61,611160,文化人類学の世界,姜 海守
62,611161,情報とビジネス,笠置 剛
63,611162,都市と人間,田口 純子
64,611163,都市情報学概論１,亀井 栄治
65,611164,法と社会,細川 壮平
66,611165,数学の基礎B-１,鈴木 淳生
67,611501,数学の基礎A-２,宇野 隆
68,611502,芸術文化論,玉垣 あゆ
69,611503,宗教の世界,井上 研
70,611504,政治と社会,昇 秀樹
71,611505,欧米文化論,鎌田 繁則
72,611506,社会学,田中 華子
73,611507,健康・スポーツ科学２（バドミントン）,冨岡 徹
74,611508,健康・スポーツ科学２（フットサル）,千葉 洋平
75,611509,健康・スポーツ科学２（バドミントン）,冨岡 徹
76,611510,健康・スポーツ科学２（フットサル）,千葉 洋平
77,611511,数学の基礎B-２,山谷 克
78,611512,フランス語入門２,山口 憲男
79,611513,ドイツ語入門２,木股 錬治
80,611514,健康・スポーツ科学２（バレーボール）,黒田 真二
81,611515,フランス語初級２,山口 憲男
82,611516,ドイツ語初級２,木股 錬治
83,611517,健康・スポーツ科学２（バスケットボール）,黒田 真二
84,611518,健康・スポーツ科学２（バドミントン）,黒田 真二
85,611519,健康・スポーツ科学２（卓球）,星野 秀樹
86,611520,都市学英語２,鎌田 繁則
87,611521,都市学英語２,雑賀 憲彦
88,611522,都市学英語２,鈴木 淳生
89,611523,都市学英語２,昇 秀樹
90,611524,都市学英語２,福島 茂
91,611525,健康・スポーツ科学２（卓球）,星野 秀樹
92,611526,都市学英語２,赤木 博文
93,611527,都市学英語２,稲葉 千晴
94,611528,都市学英語２,杉浦 真一郎
95,611529,都市学英語２,若林 拓
96,611530,経営と社会,雑賀 憲彦
97,611531,数と論理,山谷 克
98,611532,英語基礎２(リーディング),高野 洋子
99,611533,英語基礎２(コミュニケーション),ﾃﾚｻ ｶﾈﾝﾊﾞｰｸﾞ
100,611534,英語初級１-２(コミュニケーション),LYONS Michael
101,611535,英語初級１-２(コミュニケーション),MCKERNON ANDREW
102,611536,英語基礎２(リーディング),高野 洋子
103,611537,英語基礎２(コミュニケーション),ﾃﾚｻ ｶﾈﾝﾊﾞｰｸﾞ
104,611538,英語初級１-２(コミュニケーション),LYONS Michael
105,611539,英語初級２-２(コミュニケーション),MCKERNON ANDREW
106,611540,コンピュータ演習２(基礎プログラミング),手嶋 正章|宇野 隆
107,611541,コンピュータ演習２(基礎プログラミング),長島 正憲|森杉 雅史
108,611542,コンピュータ演習２(基礎プログラミング),宮本 由紀|水野 隆文
109,611543,コンピュータ演習２(基礎プログラミング),杉浦 伸|島田 康人
110,611544,コンピュータ演習２(基礎プログラミング),小池 聡|鈴木 千文
111,611545,コンピュータ演習２(基礎プログラミング),宮本 由紀|長島 正憲
112,611546,コンピュータ演習２(基礎プログラミング),亀井 栄治|杉浦 伸
113,611547,心の科学,石川 有紀
114,611548,コンピュータシステム,鈴木 千文
115,611549,英語基礎２(コミュニケーション),ﾃﾚｻ ｶﾈﾝﾊﾞｰｸﾞ
116,611550,英語基礎２(リーディング),森 なほみ
117,611551,英語初級１-２(リーディング),葛谷 明美
118,611552,英語初級１-２(リーディング),古田 雪子
119,611553,英語基礎２(コミュニケーション),ﾃﾚｻ ｶﾈﾝﾊﾞｰｸﾞ
120,611554,英語基礎２(リーディング),森 なほみ
121,611555,英語初級１-２(リーディング),古田 雪子
122,611556,英語初級２-２(リーディング),葛谷 明美
123,611557,プログラミング入門,水野 隆文
124,611558,アジア文化論,姜 海守
125,611559,ユビキタスと社会,笠置 剛
126,611560,都市情報学概論２,亀井 栄治
127,611561,日本国憲法,細川 壮平
128,611562,異文化コミュニケーション,亀井 栄治
129,612101,コンピュータ演習５(プレゼンテーション),田口 純子
130,612102,データ分析と確率,宇野 隆
131,612103,都市と行政,昇 秀樹
132,612105,情報管理の基礎,酒井 順哉
133,612106,キャリアアップ講座１,杉浦 真一郎
134,612107,都市学英語１【再履修クラス】,手嶋 正章
135,612108,コンピュータ演習６(データベース),竹治 勲
136,612109,健康科学論１,黒田 真二
137,612110,企業の経営,雑賀 憲彦
138,612111,コンピュータ演習３(オペレーティングシステム),大野 栄治
139,612112,コンピュータ演習３(オペレーティングシステム),亀井 栄治
140,612113,コンピュータ演習３(オペレーティングシステム),鈴木 千文|西野 隆典
141,612114,コンピュータ演習３(オペレーティングシステム),水野 隆文
142,612115,コンピュータ演習３(オペレーティングシステム),島田 康人
143,612116,コンピュータ演習３(オペレーティングシステム),宇野 隆
144,612117,コンピュータ演習３(オペレーティングシステム),山谷 克
145,612118,コンピュータ演習３(オペレーティングシステム),長島 正憲|張 昇平
146,612119,英語基礎１(コミュニケーション)【再履修クラス】,ﾃﾚｻ ｶﾈﾝﾊﾞｰｸﾞ
147,612120,英語初級１-１(コミュニケーション)【再履修＆ステップアップクラス】,MCKERNON ANDREW
148,612121,英語初級２-１(コミュニケーション)【再履修＆ステップアップクラス】,ﾃﾚｻ ｶﾈﾝﾊﾞｰｸﾞ
149,612122,英語基礎１(リーディング)【再履修クラス】,森 なほみ
150,612123,英語初級１-１(リーディング)【再履修＆ステップアップクラス】,古田 雪子
151,612124,英語初級２-１(リーディング)【再履修＆ステップアップクラス】,葛谷 明美
152,612125,都市の計画,柄谷 友香
153,612126,サービスサイエンス特別講義２,大野 栄治
154,612127,情報処理の基礎,西野 隆典
155,612128,日本事情概説１,小野 純一
156,612129,コンピュータ総合演習１,小林 翔
157,612501,都市の経済,宮本 由紀
158,612502,データ分析と統計,宇野 隆
159,612503,都市と財政,赤木 博文
160,612504,情報管理の応用,酒井 順哉
161,612505,キャリアアップ講座２,杉浦 真一郎
162,612506,都市学英語２【再履修クラス】,手嶋 正章
163,612507,健康科学論２,黒田 真二
164,612508,都市と事業構想,福島 茂
165,612509,コンピュータ演習４(応用プログラミング),大野 栄治
166,612510,コンピュータ演習４(応用プログラミング),亀井 栄治
167,612511,コンピュータ演習４(応用プログラミング),鈴木 千文|西野 隆典
168,612512,コンピュータ演習４(応用プログラミング),水野 隆文
169,612513,コンピュータ演習４(応用プログラミング),島田 康人
170,612514,コンピュータ演習４(応用プログラミング),宇野 隆
171,612515,コンピュータ演習４(応用プログラミング),山谷 克
172,612516,コンピュータ演習４(応用プログラミング),長島 正憲|張 昇平
173,612517,英語基礎２(コミュニケーション)【再履修クラス】,ﾃﾚｻ ｶﾈﾝﾊﾞｰｸﾞ
174,612518,英語初級１-２(コミュニケーション)【再履修＆ステップアップクラス】,MCKERNON ANDREW
175,612519,都市の構造,杉浦 真一郎
176,612520,英語初級２-２(コミュニケーション)【再履修＆ステップアップクラス】,ﾃﾚｻ ｶﾈﾝﾊﾞｰｸﾞ
177,612521,英語基礎２(リーディング)【再履修クラス】,森 なほみ
178,612522,英語初級１-２(リーディング)【再履修＆ステップアップクラス】,古田 雪子
179,612523,英語初級２-２(リーディング)【再履修＆ステップアップクラス】,葛谷 明美
180,612524,情報処理の応用,西野 隆典
181,612525,日本事情概説２,小野 純一
182,612526,都市のデザイン,田口 純子
