,講義コード,講義名,担当者名
0,304125,化学１,神藤 定生
1,301001,数学講究,内村 佳典|大西 良博|小澤 哲也|鍜治 俊輔|許斐 豊|齊藤 公明|鈴木 紀明|土田 哲生|冨田 耕史|長郷 文和|日比野 正樹|前野 俊昭|三町 祐子|村瀬 勇介|植松 哲也|佐藤 光樹|柴田 将敬
2,301102,微分積分１,植松 哲也
3,301103,微分積分１演習,前野 俊昭
4,301104,微分積分１演習,植松 哲也
5,301105,情報科学１,鈴木 浩志
6,301114,英語コミュニケーション１,廣瀬 聡美
7,301123,物理学１,谷口 正明
8,301126,線形代数１,三町 祐子
9,301127,線形代数１演習,長郷 文和
10,301128,線形代数１演習,三町 祐子
11,301129,化学１,村手 宏隆
12,301131,数学序論１,村瀬 勇介
13,301133,コンピューターリテラシー,鈴木 浩志
14,301134,数学序論１,村瀬 勇介
15,301138,総合数理基礎演習１,内村 佳典|大西 良博|小澤 哲也|鍜治 俊輔|許斐 豊|齊藤 公明|鈴木 紀明|土田 哲生|冨田 耕史|長郷 文和|日比野 正樹|前野 俊昭|三町 祐子|村瀬 勇介|植松 哲也|佐藤 光樹|柴田 将敬
16,301201,線形代数４,大西 良博
17,301202,線形代数４,齊藤 公明
18,301204,微分積分３,鈴木 紀明
19,301205,微分積分３,鈴木 紀明
20,301209,計算機科学１,秋田 幸哉
21,301210,微分積分４,日比野 正樹
22,301211,線形代数３,齊藤 公明
23,301212,数理科学１,狐崎 直文
24,301217,線形代数３,大西 良博
25,301228,代数学１,許斐 豊
26,301230,計算機科学１,村瀬 勇介
27,301231,微分積分４,日比野 正樹
28,301240,総合数理基礎演習３,内村 佳典|大西 良博|小澤 哲也|鍜治 俊輔|許斐 豊|齊藤 公明|鈴木 紀明|土田 哲生|冨田 耕史|長郷 文和|日比野 正樹|前野 俊昭|三町 祐子|村瀬 勇介|植松 哲也|佐藤 光樹|柴田 将敬
29,301301,計算機科学３,許斐 豊
30,301302,計算機科学４,許斐 豊
31,301303,数理情報３,齊藤 公明
32,301304,幾何学４,佐藤 光樹
33,301305,情報ネットワーク論,米澤 佳己
34,301313,数理情報４,内村 佳典
35,301314,情報科学３,許斐 豊
36,301317,幾何学３,小澤 哲也
37,301320,計算機科学４,冨田 耕史
38,301321,数学通論２,長郷 文和
39,301324,情報科学３,許斐 豊
40,301402,計算機科学７,大西 良博
41,301403,解析学７,鈴木 紀明
42,301405,幾何学７,長郷 文和
43,301501,微分積分２,鈴木 紀明
44,301503,微分積分２演習,鈴木 紀明
45,301504,微分積分２演習,日比野 正樹
46,301511,物理学演習,古賀 実
47,301514,英語コミュニケーション２,廣瀬 聡美
48,301516,情報科学２,鈴木 浩志
49,301524,物理学２,谷口 正明
50,301527,線形代数２,大西 良博
51,301528,線形代数２演習,鍜治 俊輔
52,301529,線形代数２演習,大西 良博
53,301530,化学２,村手 宏隆
54,301534,情報科学２,許斐 豊
55,301539,総合数理基礎演習２,内村 佳典|大西 良博|小澤 哲也|鍜治 俊輔|許斐 豊|齊藤 公明|鈴木 紀明|土田 哲生|冨田 耕史|長郷 文和|日比野 正樹|前野 俊昭|三町 祐子|村瀬 勇介|植松 哲也|佐藤 光樹|柴田 将敬
56,301602,解析学２,柴田 将敬
57,301603,解析学２,柴田 将敬
58,301605,技術者倫理,鬼頭 邦英
59,301608,計算機科学２,秋田 幸哉
60,301621,幾何学２,佐藤 光樹
61,301626,幾何学２,佐藤 光樹
62,301633,総合数理基礎演習４,内村 佳典|大西 良博|小澤 哲也|鍜治 俊輔|許斐 豊|齊藤 公明|鈴木 紀明|土田 哲生|冨田 耕史|長郷 文和|日比野 正樹|前野 俊昭|三町 祐子|村瀬 勇介|植松 哲也|佐藤 光樹|柴田 将敬
63,301702,幾何学５,小澤 哲也
64,301703,数理情報５,三町 祐子
65,301704,経営情報論,齊藤 公明
66,301705,人間情報処理論,米澤 佳己
67,301709,数理物理学２,狐崎 直文
68,301712,数理情報６,鍜治 俊輔
69,301713,計算機科学５,冨田 耕史
70,301714,情報科学４,村瀬 勇介
71,301715,解析学５,柴田 将敬
72,301716,教職研究２,植松 哲也
73,301717,解析学６,日比野 正樹
74,301718,幾何学６,長郷 文和
75,301719,計算機科学６,冨田 耕史
76,301721,数学研究,土田 哲生|長郷 文和|前野 俊昭|村瀬 勇介|内村 佳典
77,301722,情報科学４,村瀬 勇介
78,301802,計算機科学８,冨田 耕史
79,301804,幾何学８,長郷 文和
80,301805,解析学８,日比野 正樹
81,652102,教育行政論,片山 信吾
82,652111,数学科教育法Ａ,竹内 英人
83,652126,数学科教育法１,竹内 英人
84,652505,数学科教育法Ｂ,竹内 英人
85,653101,数学科指導法Ａ,竹内 英人
86,653102,数学科指導法Ａ,竹内 英人
87,653113,数学科教育法２,竹内 英人
88,653501,数学科指導法Ｂ,竹内 英人
89,653502,数学科指導法Ｂ,竹内 英人
90,653526,教育実習指導（事前）,竹内 英人
91,653531,数学科指導法２,竹内 英人
92,301106,英語基礎演習１,岩塚 さおり
93,301505,英語基礎演習２,岩塚 さおり
94,301117,化学基礎演習１,村手 宏隆
95,301518,化学基礎演習２,村手 宏隆
96,301615,物理学演習（再）,佐藤 俊郎
97,301219,英語コミュニケーション１（再）,中村 晴香
98,301614,英語コミュニケーション２（再）,中村 晴香
99,301632,体育科学４,黒田 真二|辻内 智樹|松本 秀彦|内田 雄介|柿島 新太郎
100,300101,基礎ゼミナール１,中村 栄造
101,300102,基礎ゼミナール１,宮北 惠子
102,300103,基礎ゼミナール１,榎本 暁
103,300104,基礎ゼミナール１,長澤 崇雄
104,300105,基礎ゼミナール１,大知 聖子
105,300106,基礎ゼミナール１,景山 伯春
106,300107,基礎ゼミナール１,相馬 仁
107,300108,基礎ゼミナール１,前川 明寛
108,300109,基礎ゼミナール１,中島 公平
109,300110,基礎ゼミナール１,早藤 英俊
110,300111,基礎ゼミナール１,鈴木 昌弘
111,300112,基礎ゼミナール１,大藏 信之
112,300113,基礎ゼミナール１,西村 尚哉
113,300114,基礎ゼミナール１,宮田 喜久子
114,300115,基礎ゼミナール１,楊 剣鳴
115,300116,基礎ゼミナール１,板橋 一雄
116,300117,基礎ゼミナール１,片桐 誠之
117,300118,基礎ゼミナール１,吉久 光一
118,300501,基礎ゼミナール２,中村 栄造
119,300502,基礎ゼミナール２,宮北 惠子
120,300503,基礎ゼミナール２,榎本 暁
121,300504,基礎ゼミナール２,長澤 崇雄
122,300505,基礎ゼミナール２,大知 聖子
123,300506,基礎ゼミナール２,景山 伯春
124,300507,基礎ゼミナール２,相馬 仁
125,300508,基礎ゼミナール２,前川 明寛
126,300509,基礎ゼミナール２,中島 公平
127,300510,基礎ゼミナール２,早藤 英俊
128,300511,基礎ゼミナール２,大藏 信之
129,300512,基礎ゼミナール２,西村 尚哉
130,300513,基礎ゼミナール２,宮田 喜久子
131,300514,基礎ゼミナール２,楊 剣鳴
132,300515,基礎ゼミナール２,片桐 誠之
133,300516,基礎ゼミナール２,三宅 克英
134,300517,基礎ゼミナール２,吉久 光一
135,301107,人文科学基礎１,星 揚一郎
136,301108,人文科学基礎１,河津 邦喜
137,301109,社会科学基礎１,早坂 泰行
138,301110,社会科学基礎１,齋藤 滋
139,301111,社会科学基礎１,森口 舞
140,301118,ドイツ語１,長澤 崇雄
141,301119,フランス語１,山口 憲男
142,301120,中国語１,龍神 邦男
143,301121,中国語１,武田 みゆき
144,301122,体育科学１,内田 雄介|内山 明|鈴木 茂廣|高山 伸也|加藤 幸久
145,301130,物理学基礎演習１,鈴木 智子
146,301135,数学基礎演習１（advanced）,大橋 美佐
147,301136,英語基礎演習１（advanced）,蟹江 弘子
148,301137,英語基礎演習１（advanced）,榎本 暁
149,301207,人文科学基礎１（再）,星 揚一郎
150,301208,社会科学基礎１（再）,齋藤 滋
151,301213,ドイツ語３,長澤 崇雄
152,301214,フランス語３,村田 ひで子
153,301215,中国語３,李 香善
154,301216,中国語３,ｹｲ 桂芝
155,301220,物理学１（再）,大久保 敏之|小澤 理樹|片岡 啓介|佐藤 俊郎|坂東 俊治|土屋 文
156,301221,英語コミュニケーション３,武藤 美代子
157,301222,英語コミュニケーション３,田中 晴紀
158,301223,英語コミュニケーション３,久米 和代
159,301224,英語コミュニケーション３,加藤 佳子
160,301232,体育科学１（再）,内山 明
161,301233,アジア文化論１,大知 聖子
162,301234,アジア文化論１,齋藤 滋
163,301235,欧米文化論１,中村 栄造
164,301236,欧米文化論１,小野 康子
165,301237,体育科学３,黒田 真二|辻内 智樹|徳山 性友|松本 秀彦|内田 雄介
166,301306,国際関係論,賀茂 道子
167,301307,文学,緑川 幸成
168,301310,プラクティカル・イングリッシュ１,WOOD CHRISTOPHER
169,301311,プラクティカル・イングリッシュ１,Van Horn George
170,301323,心理学,重村 正之
171,301506,人文科学基礎２,星 揚一郎
172,301507,人文科学基礎２,河津 邦喜
173,301508,社会科学基礎２,早坂 泰行
174,301509,社会科学基礎２,齋藤 滋
175,301510,社会科学基礎２,森口 舞
176,301519,ドイツ語２,長澤 崇雄
177,301520,フランス語２,山口 憲男
178,301521,中国語２,龍神 邦男
179,301522,中国語２,武田 みゆき
180,301523,体育科学２,内田 雄介|内山 明|鈴木 茂廣|高山 伸也|加藤 幸久
181,301531,物理学基礎演習２,鈴木 智子
182,301536,数学基礎演習２（advanced）,大橋 美佐
183,301537,英語基礎演習２（advanced）,蟹江 弘子
184,301538,英語基礎演習２（advanced）,榎本 暁
185,301606,人文科学基礎２（再）,星 揚一郎
186,301607,社会科学基礎２（再）,齋藤 滋
187,301610,ドイツ語４,長澤 崇雄
188,301611,フランス語４,村田 ひで子
189,301612,中国語４,李 香善
190,301613,中国語４,ｹｲ 桂芝
191,301616,物理学２（再）,小澤 理樹|片岡 啓介|佐藤 俊郎|土屋 文|坂東 俊治|大久保 敏之
192,301617,英語コミュニケーション４,武藤 美代子
193,301618,英語コミュニケーション４,田中 晴紀
194,301619,英語コミュニケーション４,久米 和代
195,301620,英語コミュニケーション４,加藤 佳子
196,301627,体育科学２（再）,内山 明
197,301628,アジア文化論２,菅沼 文乃
198,301629,アジア文化論２,齋藤 滋
199,301630,欧米文化論２,長澤 崇雄
200,301631,欧米文化論２,小野 康子
201,301706,国際経済論,名和 洋人
202,301707,心理学,濱家 徳子
203,301708,心理学,鷲津 秀樹|森口 舞
204,301710,プラクティカル・イングリッシュ２,WOOD CHRISTOPHER
205,301711,プラクティカル・イングリッシュ２,Van Horn George
206,652124,教育方法論,後藤 明史
207,652129,道徳教育の指導法,塚原 利理
208,652130,特別活動の指導法,山川 法子
209,651501,学習社会論,片山 信吾
210,651513,教育方法・技術論,平山 勉
211,652101,発達心理学,木村 美奈子
212,652104,教育法規,片山 信吾
213,652510,道徳教育の理論と指導法,塚原 利理
214,653111,学校課題演習,片山 信吾
215,653112,学校課題演習,谷口 正明|井中 宏史
216,653514,学校課題演習,嶋口 裕基
217,653518,模擬授業演習,竹内 英人
218,661501,生涯学習論,片山 信吾
219,662101,博物館原論,正村 美里
220,662103,日本文化の歴史,山中 雅子
221,662104,民俗学,山中 雅子
222,662501,博物館経営論,土山 公仁
223,662503,古文書学,山中 雅子
224,664007,博物館実習３,三浦 彩子
225,301101,微分積分１,前野 俊昭
226,301112,英語コミュニケーション１,丹嶌 久香
227,301113,英語コミュニケーション１,松村 昌紀
228,301115,英語コミュニケーション１,岩住 里美
229,301116,情報科学１,冨田 耕史
230,301124,数学基礎演習１,土田 哲生
231,301125,線形代数１,長郷 文和
232,301132,コンピューターリテラシー,許斐 豊
233,301139,サイエンス・ボランティア入門１,谷口 正明
234,301203,解析学１,日比野 正樹
235,301206,解析学１,日比野 正樹
236,301218,数理情報１,鍜治 俊輔
237,301225,代数学１,植松 哲也
238,301226,幾何学１,小澤 哲也
239,301227,幾何学１,小澤 哲也
240,301229,数理情報１,鍜治 俊輔
241,301238,情報社会と情報倫理,秋田 幸哉
242,301239,情報技術の応用と職業,秋田 幸哉
243,301308,日本国憲法,日比 拓也
244,301309,日本国憲法,川中 達治
245,301312,代数学４,前野 俊昭
246,301315,代数学３,冨田 耕史
247,301316,解析学４,鈴木 紀明
248,301318,解析学３,土田 哲生
249,301319,計算機科学３,冨田 耕史
250,301322,日本国憲法,日比 拓也
251,301401,数理情報７,鍜治 俊輔
252,301404,代数学７,植松 哲也
253,301502,微分積分２,日比野 正樹
254,301512,英語コミュニケーション２,丹嶌 久香
255,301513,英語コミュニケーション２,松村 昌紀
256,301515,英語コミュニケーション２,岩住 里美
257,301517,数学序論２,前野 俊昭
258,301525,数学基礎演習２,土田 哲生
259,301526,線形代数２,鍜治 俊輔
260,301532,数学序論２,前野 俊昭
261,301533,コンピューターサイエンス,秋田 幸哉
262,301535,コンピューターサイエンス,秋田 幸哉
263,301540,サイエンス・ボランティア入門２,谷口 正明
264,301601,数理情報２,齊藤 公明
265,301604,数学通論１,小澤 哲也
266,301609,代数学２,前野 俊昭
267,301622,数理情報２,齊藤 公明
268,301623,数学通論１,小澤 哲也
269,301624,代数学２,前野 俊昭
270,301625,計算機科学２,村瀬 勇介
271,301701,代数学５,大西 良博
272,301720,代数学６,大西 良博
273,301801,代数学８,植松 哲也
274,301803,数理情報８,三町 祐子
275,651104,教職入門,竹内 英人
276,651109,教育原論,嶋口 裕基
277,651113,教育心理学,木村 美奈子
278,651505,教育課程論,山川 法子
279,651509,生徒・進路指導論,木村 美奈子
280,652106,特別支援教育論,吉田 小百合
281,652117,特別活動と総合的な学習の時間の指導法,山川 法子
282,652119,教育情報論,平山 勉
283,652121,学校教育相談,曽山 和彦
284,654104,教育実習１,竹内 英人
285,654112,教育実習２,竹内 英人
286,654120,教育実習指導（事後）,竹内 英人
287,654504,教職実践演習(中・高),竹内 英人
288,654515,教育実習１,竹内 英人
289,654523,教育実習２,竹内 英人
290,654531,教育実習指導（事後）,竹内 英人
291,661502,博物館教育論,川合 剛
292,662102,博物館資料保存論,川瀬 基弘
293,662105,日本文化史（旧カリ）,山中 雅子
294,662106,民俗学（旧カリ）,山中 雅子
295,662502,博物館展示論,尾坂 知江子
296,662504,古文書学（旧カリ）,山中 雅子
297,663001,博物館実習１,三浦 彩子
298,663101,博物館資料論１,川瀬 基弘
299,663103,博物館情報論,平山 勉
300,663104,教育メディア環境論,平山 勉
301,664002,博物館実習２,三浦 彩子
302,663104,教育メディア環境論,平山 勉
303,664002,博物館実習２,三浦 彩子
