,講義コード,講義名,担当者名
0,304125,化学１,神藤 定生
1,302001,卒業研究,宇佐見 庄五|亀谷 由隆|小中 英嗣|佐川 雄二|鈴木 秀和|田中 敏光|中野 倫明|野崎 佑典|坂野 秀樹|水沼 洋人|向井 利春|柳田 康幸|山田 啓一|山田 宗男|山本 修身|吉川 雅弥|米澤 弘毅|旭 健作
2,302101,離散数学,中野 倫明
3,302102,情報工学の世界,宇佐見 庄五|亀谷 由隆|小中 英嗣|佐川 雄二|鈴木 秀和|田中 敏光|中野 倫明|野崎 佑典|坂野 秀樹|水沼 洋人|向井 利春|柳田 康幸|山田 啓一|山田 宗男|山本 修身|吉川 雅弥|米澤 弘毅|旭 健作
4,302103,情報工学基礎演習,宇佐見 庄五
5,302105,情報工学基礎演習（再）,宇佐見 庄五
6,302107,物理学実験１,片岡 啓介|神野 誠|竹本 修|土屋 文|中野 拓哉|田中 崇之
7,302109,情報通信ネットワーク（再）,鈴木 秀和
8,302118,プログラミング演習２（再）,中村 寛則
9,302123,コンピューターリテラシー,福間 功史|山田 宗男
10,302125,プログラミング演習１,旭 健作
11,302126,プログラミング演習１,中村 寛則
12,302129,マルチメディア基礎（再）,田中 敏光
13,302130,離散数学,中野 倫明
14,302131,情報工学基礎演習,宇佐見 庄五
15,302132,情報工学の世界,宇佐見 庄五|亀谷 由隆|小中 英嗣|佐川 雄二|鈴木 秀和|田中 敏光|中野 倫明|野崎 佑典|坂野 秀樹|水沼 洋人|向井 利春|柳田 康幸|山田 啓一|山田 宗男|山本 修身|吉川 雅弥|米澤 弘毅|旭 健作
16,302134,物理学実験１,片岡 啓介|神野 誠|竹本 修|土屋 文|中野 拓哉|田中 崇之
17,302140,英語コミュニケーション１,萩 三恵
18,302142,コンピューターリテラシー,福間 功史|山田 宗男
19,302144,プログラミング演習１,旭 健作
20,302145,プログラミング演習１,中村 寛則
21,302201,電磁気学１,向井 利春
22,302202,データベース,亀谷 由隆
23,302203,プログラミング演習３,坂野 秀樹
24,302204,情報工学実験１,小中 英嗣|藤井 俊明|水沼 洋人|山口 拓真|鈴木 秀和
25,302205,電気電子回路１,中野 倫明
26,302207,ディジタル回路２（再）,山田 啓一
27,302209,情報数学基礎,中村 寛則
28,302214,画像処理（再）,山田 宗男
29,302215,言語・オートマトン（再）,米澤 弘毅
30,302222,アルゴリズム・データ構造１,山本 修身
31,302224,オペレーティングシステム,亀谷 由隆
32,302225,ディジタル信号処理１（再）,柳田 康幸
33,302227,情報理論（再）,宇佐見 庄五
34,302228,アルゴリズム・データ構造１,山本 修身
35,302229,プログラミング演習３,坂野 秀樹
36,302230,電気電子回路１,中野 倫明
37,302231,情報工学実験１,小中 英嗣|藤井 俊明|水沼 洋人|山口 拓真|鈴木 秀和
38,302232,情報数学基礎,中村 寛則
39,302238,オペレーティングシステム,亀谷 由隆
40,302301,電気電子回路２,柳田 康幸
41,302302,組込システム,吉川 雅弥
42,302303,組込システム,吉川 雅弥
43,302304,電気電子回路２,柳田 康幸
44,302305,システム制御１,小中 英嗣
45,302306,情報セキュリティ,野崎 佑典
46,302312,コンピュータグラフィックス,田中 敏光
47,302313,ディジタル信号処理２,坂野 秀樹
48,302314,ディジタル信号処理２,坂野 秀樹
49,302315,コンピュータグラフィックス,田中 敏光
50,302316,情報工学実験３,米澤 弘毅|柳田 康幸
51,302317,コンパイラ,佐川 雄二
52,302318,コンパイラ,佐川 雄二
53,302319,情報工学実験３,野崎 佑典|向井 利春
54,302322,アルゴリズム・データ構造２,亀谷 由隆
55,302323,人工知能,山田 啓一
56,302324,コンピュータアーキテクチャ２,吉川 雅弥
57,302325,コンピュータアーキテクチャ２,吉川 雅弥
58,302326,人工知能,山田 啓一
59,302401,数理計画法,水沼 洋人
60,302402,バーチャルリアリティ,柳田 康幸
61,302403,言語情報処理,佐川 雄二
62,302404,ロボットシステム,小中 英嗣
63,302405,符号理論,宇佐見 庄五
64,302406,アドバンストアルゴリズム,山本 修身
65,302407,ワイヤレス通信,鈴木 秀和
