,講義コード,講義名,担当者名
0,304125,化学１,神藤 定生
1,301106,英語基礎演習１,岩塚 さおり
2,301505,英語基礎演習２,岩塚 さおり
3,303001,卒業研究,内田 儀一郎|太田 貴之|熊谷 慎也|児玉 哲司|小林 健太郎|竹田 圭吾|田崎 豪|中條 渉|都竹 愛一郎|平松 美根男|堀田 一弘|益田 泰輔|増山 岳人|村上 祐一|村田 英一|村本 裕二|山中 三四郎|伊藤 昌文
4,303101,電気電子工学概論,足立 久美|伊藤 公一|伊藤 昌文|川又 章|小林 正彦|高瀬 茂明|田崎 豪|中條 渉|中平 雅士|平松 美根男|村本 裕二|山中 三四郎|加藤 雅人
5,303103,微分積分１,杁山 公徳
6,303104,物理学実験１,今井 大地|鈴木 智子|近本 彬|六田 英治|加藤 聡太
7,303105,化学実験１,日比野 隆|本田 真己
8,303106,化学１,田中 義人
9,303113,英語コミュニケーション１,萩 三恵
10,303115,線形代数１,佐藤 光樹
11,303116,電気電子ゼミナール１,内田 儀一郎|太田 貴之|熊谷 慎也|児玉 哲司|小林 健太郎|竹田 圭吾|田崎 豪|中條 渉|都竹 愛一郎|平松 美根男|堀田 一弘|益田 泰輔|増山 岳人|村上 祐一|村田 英一|村本 裕二|山中 三四郎|伊藤 昌文
12,303121,コンピューターリテラシー,田崎 豪
13,303122,コンピューターサイエンス,中條 渉
14,303124,微分積分１,杁山 公徳
15,303126,物理学実験１,今井 大地|鈴木 智子|近本 彬|六田 英治|加藤 聡太
16,303127,化学実験１,本田 真己|日比野 隆
17,303128,化学１,田中 義人
18,303135,コンピューターリテラシー,田崎 豪
19,303201,電気磁気学１および演習,太田 貴之
20,303202,電気基礎理論３,堀田 一弘
21,303203,電気電子工学基礎実験,伊藤 昌文|内田 儀一郎|中條 渉|平松 美根男|山中 三四郎|村本 裕二|都竹 愛一郎
22,303204,電気基礎理論４,村本 裕二
23,303205,基礎通信工学,都竹 愛一郎
24,303206,電気回路２および演習,内田 儀一郎
25,303216,プログラミング２および演習,村田 英一
26,303219,電気電子工学基礎実験,伊藤 昌文|内田 儀一郎|中條 渉|平松 美根男|山中 三四郎|村本 裕二|都竹 愛一郎
27,303220,電気基礎理論４,村本 裕二
28,303221,電気基礎理論３,堀田 一弘
29,303222,基礎通信工学,都竹 愛一郎
30,303223,電気磁気学１および演習,竹田 圭吾
31,303224,プログラミング２および演習,村田 英一
32,303232,電気回路２および演習,伊藤 昌文
33,303301,デジタル回路２,田崎 豪
34,303302,制御工学２,堀田 一弘
35,303303,電子回路C,都竹 愛一郎
36,303304,電気電子工学実験２,小林 健太郎|鈴木 一幸|増山 岳人|熊谷 慎也|益田 泰輔
37,303305,情報理論,小林 健太郎
38,303306,電気電子工学実験２,岩田 直幸|堀田 一弘|益田 泰輔|村上 祐一|内田 儀一郎
39,303307,電子回路C,都竹 愛一郎
40,303308,エネルギー伝送工学,山中 三四郎
41,303309,電気電子物性論２,平松 美根男
42,303314,半導体工学１,平松 美根男
43,303315,電子計測,内田 儀一郎
44,303316,デジタル信号処理１,熊谷 慎也
45,303317,電気磁気学３,熊谷 慎也
46,303318,組み込みシステム２および演習,田崎 豪
47,303402,電気設計・製図,大野 和重
48,303502,微分積分２,杁山 公徳
49,303503,物理学実験２,今井 大地|鈴木 智子|近本 彬|六田 英治|加藤 聡太
50,303507,電気基礎理論２,平松 美根男
51,303514,英語コミュニケーション２,萩 三恵
52,303516,線形代数２,佐藤 光樹
53,303521,電気回路１および演習,益田 泰輔
54,303522,プログラミング１および演習,児玉 哲司
55,303523,電気回路１および演習,山中 三四郎
56,303524,微分積分２,杁山 公徳
57,303526,物理学実験２,今井 大地|鈴木 智子|近本 彬|六田 英治|加藤 聡太
58,303534,電気基礎理論２,平松 美根男
59,303536,プログラミング１および演習,児玉 哲司
60,303601,電気電子工学実験１,伊藤 昌文|竹田 圭吾|中條 渉|光本 真一|村上 祐一|熊谷 慎也
61,303602,電気回路３,村上 祐一
62,303603,電気電子物性論１,平松 美根男
63,303605,通信システム,小林 健太郎
64,303607,電気磁気学２および演習,竹田 圭吾
65,303608,エネルギー変換・発生工学,益田 泰輔
66,303616,技術者倫理,大野 波矢登
