,講義コード,講義名,担当者名
0,304125,化学１,神藤 定生
1,304001,卒業研究,今井 大地|岩谷 素顕|宇佐美 初彦|榎本 和城|竹内 哲也|田中 崇之|成塚 重弥|服部 友一|宮嶋 孝夫|六田 英治|上山 智
2,304101,物理学実験１,小島 由継|神野 誠|中野 拓哉|本村 扇仁|池邉 由美子|竹本 修
3,304102,化学実験１,木全 梨加|神藤 定生
4,304104,英語コミュニケーション１,子安 惠子
5,304107,微分積分１,足立 俊明
6,304109,材料機能工学概論,池田 毅|今井 大地|岩谷 素顕|宇佐美 初彦|上山 智|河本 英律|竹内 哲也|田中 崇之|成塚 重弥|服部 友一|宮嶋 孝夫|六田 英治|榎本 和城|赤堀 俊和
7,304110,製図基礎,服部 友一
8,304118,応用数学２,岩谷 素顕
9,304119,応用数学１,石田 明
10,304122,中国語１,辻 千春
11,304123,物理学１,六田 英治
12,304126,線形代数１,佐藤 光樹
13,304201,物性論１および演習,今井 大地
14,304202,電磁気学２および演習,竹内 哲也
15,304207,材料力学１および演習,服部 友一
16,304210,アナログ電子回路,岩谷 素顕
17,304211,科学技術リテラシー,今井 大地|宇佐美 初彦|榎本 和城|上山 智|竹内 哲也|田中 崇之|成塚 重弥|服部 友一|宮嶋 孝夫|横山 慶一|六田 英治|岩谷 素顕|赤堀 俊和
18,304212,応用数学３,成塚 重弥
19,304220,熱力学,田中 崇之
20,304221,電子回路設計・製作,竹内 哲也
21,304301,機械加工,宇佐美 初彦
22,304302,高分子化学,田浦 大輔
23,304303,材料強度学,宇佐美 初彦
24,304304,半導体基礎論,上山 智
25,304305,機械要素,榎本 和城
26,304306,光・誘電工学,竹内 哲也
27,304307,エレクトロニクス材料分析・評価法,岩谷 素顕
28,304308,複合材料,榎本 和城
29,304309,結晶材料,成塚 重弥
30,304310,化学反応論,丸山 隆浩
31,304311,電気化学,大脇 健史
32,304312,合金材料,赤堀 俊和
33,304313,真空工学,六田 英治
34,304315,結晶塑性学,西野 洋一
35,304317,デジタル電子回路,田中 雅光
36,304318,材料機能工学実験２,赤堀 俊和|岩谷 素顕|宇佐美 初彦|鈴木 敦志|服部 友一|六田 英治|今井 大地
37,304501,物理学実験２,小島 由継|神野 誠|中野 拓哉|本村 扇仁|池邉 由美子|竹本 修
38,304502,化学実験２,木全 梨加|神藤 定生
39,304504,英語コミュニケーション２,子安 惠子
40,304507,微分積分２,足立 俊明
41,304509,電気回路および演習,岩谷 素顕
42,304510,電磁気学１および演習,竹内 哲也
43,304516,工業力学,赤堀 俊和
44,304519,中国語２,辻 千春
45,304520,物理学２,六田 英治
46,304522,化学２,神藤 定生
47,304523,線形代数２,佐藤 光樹
48,304524,物理学演習,宮嶋 孝夫
49,304601,材料力学２および演習,榎本 和城
50,304603,統計力学,田中 崇之
51,304608,材料機能工学実験１,赤堀 俊和|岩田 康也|宇佐美 初彦|鈴木 敦志|武藤 正樹|三浦 永理|宮嶋 孝夫|宮本 潤示|六田 英治|榎本 和城|川崎 晟也|隈部 岳瑠|杣谷 啓
52,304610,鉄鋼材料,宇佐美 初彦
53,304611,物性論２および演習,宮嶋 孝夫
54,304612,技術者倫理,大野 波矢登
55,304701,機械材料分析・評価法,服部 友一
56,304702,表面工学,六田 英治
57,304703,溶融加工,赤堀 俊和
58,304704,結晶成長,成塚 重弥
59,304705,高分子材料,服部 友一
60,304706,量子化学,才田 隆広
61,304707,分析化学,坂 えり子
62,304708,焼結材料,宇佐美 初彦
63,304709,半導体工学,岩谷 素顕
64,304710,半導体デバイス,上山 智
65,304711,磁性材料,岩田 聡
66,304713,材料機能ゼミナール,今井 大地|岩谷 素顕|榎本 和城|上山 智|竹内 哲也|田中 崇之|成塚 重弥|服部 友一|宮嶋 孝夫|六田 英治|宇佐美 初彦|赤堀 俊和|土屋 文
67,304714,材料機能工学実験３,赤堀 俊和|古賀 実|竹内 哲也|田中 崇之|成塚 重弥|服部 友一|榎本 和城|上山 智
68,304715,機械設計・製図,榎本 和城
69,304801,安全工学,田浦 大輔
70,304802,先端技術管理,海野 良一
71,301117,化学基礎演習１,村手 宏隆
72,301518,化学基礎演習２,村手 宏隆
73,301615,物理学演習（再）,佐藤 俊郎
74,304108,英語基礎演習１,鬼頭 延寧
75,304113,人文科学基礎１,大知 聖子
76,304117,社会科学基礎１,森口 舞
77,304508,英語基礎演習２,鬼頭 延寧
78,304511,人文科学基礎２,大知 聖子
79,304515,社会科学基礎２,森口 舞
80,300101,基礎ゼミナール１,中村 栄造
81,300102,基礎ゼミナール１,宮北 惠子
82,300103,基礎ゼミナール１,榎本 暁
83,300104,基礎ゼミナール１,長澤 崇雄
84,300105,基礎ゼミナール１,大知 聖子
85,300106,基礎ゼミナール１,景山 伯春
86,300107,基礎ゼミナール１,相馬 仁
87,300108,基礎ゼミナール１,前川 明寛
88,300109,基礎ゼミナール１,中島 公平
89,300110,基礎ゼミナール１,早藤 英俊
90,300111,基礎ゼミナール１,鈴木 昌弘
91,300112,基礎ゼミナール１,大藏 信之
92,300113,基礎ゼミナール１,西村 尚哉
93,300114,基礎ゼミナール１,宮田 喜久子
94,300115,基礎ゼミナール１,楊 剣鳴
95,300116,基礎ゼミナール１,板橋 一雄
96,300117,基礎ゼミナール１,片桐 誠之
97,300118,基礎ゼミナール１,吉久 光一
98,300501,基礎ゼミナール２,中村 栄造
99,300502,基礎ゼミナール２,宮北 惠子
100,300503,基礎ゼミナール２,榎本 暁
101,300504,基礎ゼミナール２,長澤 崇雄
102,300505,基礎ゼミナール２,大知 聖子
103,300506,基礎ゼミナール２,景山 伯春
104,300507,基礎ゼミナール２,相馬 仁
105,300508,基礎ゼミナール２,前川 明寛
106,300509,基礎ゼミナール２,中島 公平
107,300510,基礎ゼミナール２,早藤 英俊
108,300511,基礎ゼミナール２,大藏 信之
109,300512,基礎ゼミナール２,西村 尚哉
110,300513,基礎ゼミナール２,宮田 喜久子
111,300514,基礎ゼミナール２,楊 剣鳴
112,300515,基礎ゼミナール２,片桐 誠之
113,300516,基礎ゼミナール２,三宅 克英
114,300517,基礎ゼミナール２,吉久 光一
115,301135,数学基礎演習１（advanced）,大橋 美佐
