,講義コード,講義名,担当者名
0,304125,化学１,神藤 定生
1,304313,真空工学,六田 英治
2,305001,卒業研究,大脇 健史|小澤 理樹|才田 隆広|田浦 大輔|田中 正剛|永田 央|坂 えり子|坂東 俊治|丸山 隆浩|池邉 由美子
3,305101,物理学実験１,小島 由継|神野 誠|中野 拓哉|本村 扇仁|池邉 由美子|竹本 修
4,305102,化学実験１,木全 梨加|神藤 定生
5,305106,英語コミュニケーション１,萩 三恵
6,305107,有機化学基礎,永田 央
7,305108,応用化学数学,池邉 由美子
8,305109,先端化学,池邉 由美子|大脇 健史|小澤 理樹|田中 正剛|永田 央|坂 えり子|坂東 俊治|丸山 隆浩|才田 隆広|田浦 大輔
9,305110,無機化学基礎,坂 えり子
10,305115,線形代数１,加藤 直樹
11,305116,物理学１,古賀 実
12,305117,微分積分１,小澤 哲也
13,305201,有機化学２,永田 央
14,305202,分析化学,坂 えり子
15,305203,物理化学１,丸山 隆浩
16,305204,量子化学２,才田 隆広
17,305205,ドイツ語３,星 揚一郎
18,305208,無機化学基礎（再）,坂 えり子
19,305209,物理化学２,丸山 隆浩
20,305210,実験基礎論,才田 隆広|小澤 理樹
21,305211,応用化学実験１,伊神 孝生|池邉 由美子|宇佐美 成美|海野 良一|大脇 健史|小澤 理樹|小谷 明|丸山 隆浩
22,305216,無機化学２,大脇 健史
23,305301,高分子化学２,田浦 大輔
24,305302,物性化学,坂東 俊治
25,305303,科学表現論,小澤 理樹
26,305304,電子材料,池邉 由美子
27,305305,分光化学,田中 正剛
28,305306,機器分析,坂東 俊治
29,305307,複合材料,榎本 和城
30,305308,触媒化学,才田 隆広
31,305309,生化学,田中 正剛
32,305310,真空工学,六田 英治
33,305311,コロイド化学,田浦 大輔
34,305312,流動現象学,岩瀬 勝則
35,305313,分離精製工学,小谷 明
36,305314,応用化学実験３,才田 隆広|田中 正剛|永田 央|田浦 大輔
37,305501,物理学実験２,小島 由継|神野 誠|中野 拓哉|本村 扇仁|池邉 由美子|竹本 修
38,305502,化学実験２,木全 梨加|神藤 定生
39,305506,英語コミュニケーション２,萩 三恵
40,305507,無機化学１,坂 えり子
41,305508,量子化学１,才田 隆広
42,305509,安全工学,田浦 大輔
43,305510,有機化学１,永田 央
44,305511,物理化学基礎,丸山 隆浩
45,305515,線形代数２,加藤 直樹
46,305516,物理学２,古賀 実
47,305517,微分積分２,小澤 哲也
48,305518,物理学演習,宮嶋 孝夫
49,305601,高分子化学１,田浦 大輔
50,305602,有機化学演習,永田 央
51,305603,電気化学,大脇 健史
52,305604,製図基礎,吉川 泰晴
53,305605,化学結晶学,丸山 隆浩
54,305606,物質構造学,小澤 理樹
55,305607,ドイツ語４,星 揚一郎
56,305610,量子化学演習,坂東 俊治
57,305611,物理化学演習,丸山 隆浩
58,305612,錯体化学,草本 哲郎
59,305613,無機化学演習,池邉 由美子
60,305614,物理化学基礎（再）,丸山 隆浩
61,305615,化学工学,小谷 明
62,305616,技術者倫理,成瀬 翔
63,305621,応用化学実験２,才田 隆広|田中 正剛|永田 央|田浦 大輔
64,305701,エネルギー化学,大脇 健史
65,305702,金属材料,宇佐美 初彦
66,305703,高分子材料,服部 友一
67,305704,表面工学,丸山 隆浩
68,305705,環境材料,才田 隆広|田中 正剛
69,305706,生活支援化学,田中 正剛
70,305707,固体物性,池邉 由美子
71,305708,応用化学実験４,小澤 理樹|小谷 明|神野 誠|坂 えり子|坂東 俊治|大脇 健史
72,305709,先端技術管理,海野 良一
73,305710,応用化学ゼミナール,池邉 由美子|大脇 健史|小澤 理樹|田浦 大輔|田中 正剛|永田 央|坂 えり子|坂東 俊治|丸山 隆浩|才田 隆広
74,305711,機械設計・製図,榎本 和城
75,301117,化学基礎演習１,村手 宏隆
76,301518,化学基礎演習２,村手 宏隆
