,講義コード,講義名,担当者名
0,304125,化学１,神藤 定生
1,301117,化学基礎演習１,村手 宏隆
2,301518,化学基礎演習２,村手 宏隆
3,301615,物理学演習（再）,佐藤 俊郎
4,306001,卒業研究,池本 有助|大島 成通|川村 洋介|來海 博央|久保 貴|清水 憲一|塚田 敦史|中西 淳|成田 浩久|古川 裕之|松田 淳|横田 紘季|吉川 泰晴|ABRAHA PETROS
5,306003,機械設計・製作,ABRAHA PETROS|清水 憲一|古川 裕之|大島 成通
6,306101,物理学１,石田 明
7,306105,物理学実験１,石田 明|片岡 啓介|近本 彬|本村 扇仁|坂 えり子|加藤 聡太
8,306106,化学実験１,木全 梨加|田中 義人
9,306107,機械設計基礎,塚田 敦史
10,306113,機械工学概論,池本 有助|大島 成通|川村 洋介|來海 博央|久保 貴|清水 憲一|塚田 敦史|中西 淳|成田 浩久|古川 裕之|松田 淳|横田 紘季|吉川 泰晴|ABRAHA PETROS
11,306115,微分積分１,田坂 浩二
12,306116,線形代数１,花木 良
13,306120,物理学１,田中 崇之
14,306121,物理学実験１,石田 明|片岡 啓介|近本 彬|本村 扇仁|坂 えり子|加藤 聡太
15,306122,化学実験１,木全 梨加|田中 義人
16,306123,機械設計基礎,塚田 敦史
17,306126,化学１,村手 宏隆
18,306127,線形代数１,花木 良
19,306128,微分積分１,鍜治 俊輔
20,306201,機械加工学,成田 浩久
21,306202,熱力学１,川村 洋介
22,306203,機械工学実習,鈴木 康友|田中 宏典|武藤 正樹|加藤 武弘
23,306208,流体力学１,久保 貴
24,306209,材料力学１,清水 憲一
25,306210,ドイツ語３,星 揚一郎
26,306213,機械設計１,吉川 泰晴
27,306214,応用力学,來海 博央
28,306215,コンピューターシミュレーション,目黒 淳一
29,306216,機械力学１,大島 成通
30,306217,応用数学１,久保 貴
31,306219,流体力学１,古川 裕之
32,306220,機械加工学,成田 浩久
33,306225,コンピューターシミュレーション,目黒 淳一
34,306227,応用力学,池本 有助
35,306228,材料力学１,來海 博央
36,306229,機械設計１,吉川 泰晴
37,306230,機械工学実習,大路 宗規|鈴木 康友|武藤 正樹|西島 忠夫
38,306231,応用数学１,久保 貴
39,306232,機械力学１,大島 成通
40,306233,熱力学１,川村 洋介
41,306301,機械振動学,横田 紘季
42,306303,材料強度学１,清水 憲一
43,306304,新技術概論,池本 有助|大島 成通|川村 洋介|來海 博央|久保 貴|清水 憲一|塚田 敦史|中西 淳|成田 浩久|古川 裕之|松田 淳|横田 紘季|吉川 泰晴|ABRAHA PETROS
44,306306,プラクティカル・イングリッシュ１,HARRIS Richard
45,306308,流体機械,酒井 康彦
46,306309,データ解析工学,新川 真人
47,306310,生産加工学,ABRAHA PETROS
48,306311,制御工学１,中西 淳
49,306312,機械工学実験,池本 有助|織田 信一|清水 憲一|成田 浩久|松田 淳|塚田 敦史
50,306313,流体機械,長谷川 豊
51,306315,機械振動学,横田 紘季
52,306316,機械工学実験,ABRAHA PETROS|久保 貴|佐藤 拓也|松田 淳|横田 紘季|來海 博央
53,306318,プラクティカル・イングリッシュ１,HARRIS Richard
54,306320,データ解析工学,新川 真人
55,306321,制御工学１,中西 淳
56,306322,生産加工学,ABRAHA PETROS
57,306401,技術英語,中西 淳|松田 淳|ABRAHA PETROS
58,306402,計測工学,成田 浩久
59,306403,新技術概論,池本 有助|大島 成通|川村 洋介|來海 博央|久保 貴|清水 憲一|塚田 敦史|中西 淳|成田 浩久|古川 裕之|松田 淳|横田 紘季|吉川 泰晴|ABRAHA PETROS
60,306501,物理学２,石田 明
61,306505,物理学実験２,石田 明|片岡 啓介|近本 彬|本村 扇仁|坂 えり子|加藤 聡太
62,306506,化学実験２,木全 梨加|田中 義人
63,306507,機構学,横田 紘季
64,306508,機械材料,來海 博央
65,306509,コンピュータープログラミング,中西 淳
66,306515,物理学演習,片岡 啓介
67,306516,微分積分２,大西 良博
68,306517,線形代数２,花木 良
69,306521,物理学２,田中 崇之
70,306522,物理学実験２,石田 明|片岡 啓介|近本 彬|本村 扇仁|坂 えり子|加藤 聡太
71,306523,化学実験２,木全 梨加|田中 義人
72,306524,機械材料,黒田 大介
73,306525,機構学,横田 紘季
74,306527,コンピュータープログラミング,中西 淳
75,306528,物理学演習,片岡 啓介
76,306529,化学２,村手 宏隆
77,306530,線形代数２,花木 良
78,306531,微分積分２,鍜治 俊輔
79,306601,機械設計２,吉川 泰晴|塚田 敦史|新井 秀隆
80,306602,流体力学２,久保 貴
81,306603,熱機関工学,松田 淳
82,306607,技術者倫理,大野 波矢登
83,306608,ドイツ語４,星 揚一郎
84,306611,機械要素,塚田 敦史
85,306612,塑性加工学,吉川 泰晴
86,306614,応用数学２,久保 貴
87,306615,電磁気学,打田 正樹
88,306617,基礎電子工学,篠木 剛
89,306620,流体力学２,古川 裕之
90,306621,応用数学２,成田 浩久
91,306626,塑性加工学,吉川 泰晴
92,306627,機械要素,塚田 敦史
93,306628,熱機関工学,松田 淳
94,306629,技術者倫理,吉本 直美
95,306630,電磁気学,打田 正樹
96,306631,基礎電子工学,篠木 剛
97,306702,ラボラトリー・セミナー,ABRAHA PETROS|池本 有助|大島 成通|來海 博央|久保 貴|清水 憲一|塚田 敦史|中西 淳|成田 浩久|古川 裕之|松田 淳|横田 紘季|吉川 泰晴|川村 洋介
98,306703,材料強度学２,清水 憲一
99,306704,制御工学２,池本 有助
100,306707,応用流体力学,酒井 康彦
101,306708,熱力学２,川村 洋介
102,306709,計測工学,成田 浩久
103,306710,応用流体力学,久保 貴
104,306711,制御工学２,池本 有助
105,306712,熱力学２,川村 洋介
106,306717,計測工学,成田 浩久
107,306718,機械技術者倫理,大久保 陽一郎|香林 貴法|中村 瑞穂|藤井 彰|三輪 邦彦|佐伯 壮一|外山 浩司|中西 淳
108,306719,インターンシップ,中西 淳
109,304108,英語基礎演習１,鬼頭 延寧
110,304113,人文科学基礎１,大知 聖子
111,304117,社会科学基礎１,森口 舞
112,304508,英語基礎演習２,鬼頭 延寧
113,304511,人文科学基礎２,大知 聖子
114,304515,社会科学基礎２,森口 舞
115,301219,英語コミュニケーション１（再）,中村 晴香
116,301614,英語コミュニケーション２（再）,中村 晴香
117,306302,CAE,來海 博央
118,306307,伝熱工学,松田 淳
119,306314,CAE,來海 博央
120,306317,伝熱工学,川村 洋介
121,306613,材料力学２,來海 博央
122,306616,機械力学２,大島 成通
123,306618,体育科学４,黒田 真二|辻内 智樹|松本 秀彦|内田 雄介|柿島 新太郎
124,306619,材料力学２,來海 博央
125,306632,機械力学２,大島 成通
126,306701,生産管理,成田 浩久
127,306716,生産管理,成田 浩久
128,300101,基礎ゼミナール１,中村 栄造
129,300102,基礎ゼミナール１,宮北 惠子
130,300103,基礎ゼミナール１,榎本 暁
131,300104,基礎ゼミナール１,長澤 崇雄
132,300105,基礎ゼミナール１,大知 聖子
133,300106,基礎ゼミナール１,景山 伯春
134,300107,基礎ゼミナール１,相馬 仁
135,300108,基礎ゼミナール１,前川 明寛
136,300109,基礎ゼミナール１,中島 公平
137,300110,基礎ゼミナール１,早藤 英俊
138,300111,基礎ゼミナール１,鈴木 昌弘
139,300112,基礎ゼミナール１,大藏 信之
140,300113,基礎ゼミナール１,西村 尚哉
141,300114,基礎ゼミナール１,宮田 喜久子
142,300115,基礎ゼミナール１,楊 剣鳴
143,300116,基礎ゼミナール１,板橋 一雄
144,300117,基礎ゼミナール１,片桐 誠之
145,300118,基礎ゼミナール１,吉久 光一
146,300501,基礎ゼミナール２,中村 栄造
147,300502,基礎ゼミナール２,宮北 惠子
148,300503,基礎ゼミナール２,榎本 暁
149,300504,基礎ゼミナール２,長澤 崇雄
150,300505,基礎ゼミナール２,大知 聖子
151,300506,基礎ゼミナール２,景山 伯春
152,300507,基礎ゼミナール２,相馬 仁
153,300508,基礎ゼミナール２,前川 明寛
154,300509,基礎ゼミナール２,中島 公平
155,300510,基礎ゼミナール２,早藤 英俊
156,300511,基礎ゼミナール２,大藏 信之
157,300512,基礎ゼミナール２,西村 尚哉
158,300513,基礎ゼミナール２,宮田 喜久子
159,300514,基礎ゼミナール２,楊 剣鳴
160,300515,基礎ゼミナール２,片桐 誠之
161,300516,基礎ゼミナール２,三宅 克英
162,300517,基礎ゼミナール２,吉久 光一
163,301130,物理学基礎演習１,鈴木 智子
164,301135,数学基礎演習１（advanced）,大橋 美佐
165,301136,英語基礎演習１（advanced）,蟹江 弘子
166,301137,英語基礎演習１（advanced）,榎本 暁
167,301207,人文科学基礎１（再）,星 揚一郎
168,301208,社会科学基礎１（再）,齋藤 滋
169,301220,物理学１（再）,大久保 敏之|小澤 理樹|片岡 啓介|佐藤 俊郎|坂東 俊治|土屋 文
170,301232,体育科学１（再）,内山 明
171,301323,心理学,重村 正之
172,301531,物理学基礎演習２,鈴木 智子
173,301536,数学基礎演習２（advanced）,大橋 美佐
174,301537,英語基礎演習２（advanced）,蟹江 弘子
175,301538,英語基礎演習２（advanced）,榎本 暁
176,301606,人文科学基礎２（再）,星 揚一郎
177,301607,社会科学基礎２（再）,齋藤 滋
178,301616,物理学２（再）,小澤 理樹|片岡 啓介|佐藤 俊郎|土屋 文|坂東 俊治|大久保 敏之
179,301627,体育科学２（再）,内山 明
180,302119,数学基礎演習１,北河 一生|片岡 紀智
181,302127,理工学概論,池本 有助|井上 真澄|高井 宏之|竹内 哲也|中山 章宏|西山 桂|坂東 俊治|平松 美根男|本田 真己|山本 修身|吉川 雅弥|吉久 光一|渡辺 孝一|加鳥 裕明
182,302128,数学基礎演習１,岡 智美|小澤 哲也
183,302216,線形代数１（再）,片岡 紀智|北河 一生|土田 哲生
184,302226,微分積分１（再）,岡 智美|柴田 将敬
185,302309,国際経済論,名和 洋人
186,302310,心理学,重村 正之
187,302311,心理学,岡田 順介
188,302327,職業指導論,山口 貴士
189,302517,数学基礎演習２,北河 一生|片岡 紀智
190,302615,線形代数２（再）,片岡 紀智|北河 一生|許斐 豊
191,302626,微分積分２（再）,岡 智美|鍜治 俊輔
192,302706,国際関係論,賀茂 道子
193,302707,文学,松浦 由美子
194,304114,人文科学基礎１,河津 邦喜
195,304115,社会科学基礎１,早坂 泰行
196,304116,社会科学基礎１,齋藤 滋
197,304213,アジア文化論１,本村 耐樹
198,304214,アジア文化論１,竹野 富之
199,304215,欧米文化論１,森口 舞
200,304216,欧米文化論１,大橋 真砂子
201,304512,人文科学基礎２,河津 邦喜
202,304513,社会科学基礎２,早坂 泰行
203,304514,社会科学基礎２,齋藤 滋
204,304609,地学２,川瀬 基弘
