,講義コード,講義名,担当者名
0,304125,化学１,神藤 定生
1,303218,英語コミュニケーション１（再）,大橋 真砂子
2,303620,英語コミュニケーション２（再）,大橋 真砂子
3,304108,英語基礎演習１,鬼頭 延寧
4,304113,人文科学基礎１,大知 聖子
5,304117,社会科学基礎１,森口 舞
6,304508,英語基礎演習２,鬼頭 延寧
7,304511,人文科学基礎２,大知 聖子
8,304515,社会科学基礎２,森口 舞
9,307001,卒業研究,加鳥 裕明|菅 章紀|菅野 望|鈴木 昌弘|仙場 淳彦|相馬 仁|中島 公平|西村 尚哉|早藤 英俊|前川 明寛|宮田 喜久子|村尾 達也|山崎 彬人|横谷 靖|大藏 信之
10,307101,化学１,本田 真己
11,307104,化学１,本田 真己
12,307105,製図１,村尾 達也
13,307106,製図１,村尾 達也
14,307111,交通機械工学概論,菅野 望|相馬 仁|宮田 喜久子|横谷 靖|鈴木 昌弘
15,307113,物理学実験１,石田 明|北川 暢子|中野 拓哉|土屋 文|劉 厳
16,307114,化学実験１,田中 義人
17,307206,応用数学１,山崎 彬人
18,307207,応用数学１,山崎 彬人
19,307208,英語コミュニケーション３,子安 惠子
20,307213,熱力学１,中島 公平
21,307214,熱力学１,中島 公平
22,307216,工業力学２,相馬 仁
23,307217,材料力学２（再）,西村 尚哉
24,307218,流体力学１,大藏 信之
25,307219,機構学,横谷 靖
26,307220,機構学,横谷 靖
27,307221,流体力学１,大藏 信之
28,307222,交通システム実習１,早藤 英俊|中島 公平|磯部 真人|岩間 守正|当麻 満男|藤川 弘一
29,307223,流体力学１（再）,大藏 信之
30,307229,製図２,大藏 信之|早藤 英俊|西村 尚哉
31,307230,製図２,大藏 信之|早藤 英俊|西村 尚哉
32,307302,エンジン１,中島 公平
33,307303,エンジン１,中島 公平
34,307305,設計・CAD,仙場 淳彦|伊藤 隆
35,307306,設計・CAD,伊藤 隆|仙場 淳彦
36,307308,交通システム実験１,菅 章紀|西村 尚哉|藤川 弘一|村尾 達也|鈴木 昌弘
37,307309,材料力学演習,西村 尚哉
38,307310,制御工学２,前川 明寛
39,307311,交通機工作法,加鳥 裕明
40,307312,エレクトロニクス１,前川 明寛
41,307313,エレクトロニクス１,前川 明寛
42,307314,交通機工作法,加鳥 裕明
43,307316,機械要素２,吉田 昌央
44,307318,流体力学演習,早藤 英俊
45,307319,熱力学演習,菅野 望
46,307320,熱力学演習,菅野 望
47,307321,流体力学演習,早藤 英俊
48,307322,鉄道車両工学１,鈴木 昌弘
49,307323,航空宇宙工学１,仙場 淳彦
50,307324,航空宇宙工学１,仙場 淳彦
51,307325,鉄道車両工学１,鈴木 昌弘
52,307401,ビークルダイナミックス,相馬 仁
53,307402,船舶工学,宮本 雅広|前川 明寛
54,307403,CAE,加鳥 裕明
55,307404,エネルギ工学,吉田 昌央
56,307405,航空宇宙学,田中 秀明|前川 明寛
57,307406,ゼミナール,大藏 信之|加鳥 裕明|菅 章紀|菅野 望|鈴木 昌弘|仙場 淳彦|中島 公平|西村 尚哉|早藤 英俊|前川 明寛|宮田 喜久子|村尾 達也|山崎 彬人|横谷 靖|相馬 仁
58,307501,化学２,本田 真己
59,307504,化学２,本田 真己
60,307505,工業力学１,山崎 彬人
61,307506,工業力学１,山崎 彬人
62,307511,数値計算法１,山崎 彬人
63,307512,数値計算法１,山崎 彬人
