,講義コード,講義名,担当者名
0,304125,化学１,神藤 定生
1,306201,機械加工学,成田 浩久
2,306220,機械加工学,成田 浩久
3,306718,機械技術者倫理,大久保 陽一郎|香林 貴法|中村 瑞穂|藤井 彰|三輪 邦彦|佐伯 壮一|外山 浩司|中西 淳
4,307404,エネルギ工学,吉田 昌央
5,301219,英語コミュニケーション１（再）,中村 晴香
6,301614,英語コミュニケーション２（再）,中村 晴香
7,303310,ネットワーク,中條 渉
8,303401,電気法規・施設管理,益田 泰輔
9,303712,パワーエレクトロニクス,長野 鉄明
10,303713,センサ・センシング,熊谷 慎也
11,306307,伝熱工学,松田 淳
12,306314,CAE,來海 博央
13,306317,伝熱工学,川村 洋介
14,306616,機械力学２,大島 成通
15,306618,体育科学４,黒田 真二|辻内 智樹|松本 秀彦|内田 雄介|柿島 新太郎
16,306701,生産管理,成田 浩久
17,306716,生産管理,成田 浩久
18,307307,振動学,村尾 達也
19,307315,計測工学,横谷 靖
20,308001,卒業研究,市川 明彦|井上 真澄|大原 賢一|佐伯 壮一|関山 浩介|畑 良幸|目黒 淳一|楊 剣鳴|芦澤 怜史
21,308101,メカトロニクス概論,市川 明彦|井上 真澄|佐伯 壮一|杉浦 恒|関山 浩介|畑 良幸|楊 剣鳴|目黒 淳一
22,308103,機械部品と材料,関山 浩介
23,308110,英語コミュニケーション１,中村 晴香
24,308113,コンピューターアーキテクチャ,太田 利夫
25,308114,電気回路基礎,大原 賢一
26,308116,物理学１,古賀 実
27,308117,化学１,神藤 定生
28,308201,メカトロニクス基礎演習２,目黒 淳一|大原 賢一
29,308202,電磁気学１,井上 真澄
30,308203,機構学,目黒 淳一
31,308204,流体力学,佐伯 壮一
32,308205,熱力学,岡村 浩一
33,308206,機械力学１,大島 成通
34,308207,材料力学１,清水 憲一
35,308209,英語コミュニケーション３,子安 惠子
36,308210,英語コミュニケーション３,松浦 由美子
37,308214,コンピューターシミュレーション,井上 真澄
38,308215,応用数学１,楊 剣鳴
39,308224,技術日本語,山根 正恒
40,308225,デジタル電子回路,鈴木 克彦
41,308301,制御工学２,楊 剣鳴
42,308302,医療機械工学,佐伯 壮一
43,308303,組み込みソフトウェア,芦澤 怜史
44,308304,組み込みソフトウェア,芦澤 怜史
45,308307,集中演習１,市川 明彦|井上 真澄|太田 利夫|大原 賢一|佐伯 壮一|関山 浩介|畑 良幸|星野 昭広|楊 剣鳴|野々川 勝治
46,308308,集中演習２,市川 明彦|井上 真澄|太田 利夫|大原 賢一|佐伯 壮一|関山 浩介|畑 良幸|星野 昭広|楊 剣鳴|野々川 勝治
47,308309,集中演習３,市川 明彦|井上 真澄|太田 利夫|大原 賢一|佐伯 壮一|関山 浩介|畑 良幸|星野 昭広|楊 剣鳴|野々川 勝治
48,308310,メカトロニクス実験１,佐藤 拓也|芦澤 怜史
49,308311,メカトロニクス実験２,大原 賢一|佐藤 拓也
50,308401,機能再現演習,市川 明彦|井上 真澄|太田 利夫|大原 賢一|佐伯 壮一|清水 右郷|関山 浩介|野々川 勝治|畑 良幸|星野 昭広|目黒 淳一|楊 剣鳴|芦澤 怜史
51,308503,メカトロニクス基礎演習１,畑 良幸|目黒 淳一
52,308505,線形代数２,松添 博
53,308510,アナログ電子回路,畑 良幸
54,308514,物理学演習,今井 大地
55,308515,物理学２,古賀 実
56,308516,コンピュータープログラミング,太田 利夫
57,308517,コンピュータープログラミング,太田 利夫
58,308518,化学２,神藤 定生
59,308519,電子回路と部品,畑 良幸
60,308601,メカトロニクス要素設計,関山 浩介
61,308602,応用数学２,鈴木 克彦
62,308603,制御工学１,目黒 淳一
63,308604,バイオメカニクス,市川 明彦
64,308605,電磁気学２,井上 真澄
65,308607,英語コミュニケーション４,子安 惠子
66,308608,英語コミュニケーション４,松浦 由美子
67,308610,メカトロニクス実験１,市川 明彦|太田 利夫|佐藤 拓也|野々川 勝治|芦澤 怜史
68,308611,メカトロニクス実験２,石川 篤|畑 良幸|星野 昭広|大原 賢一
69,308620,機械製図,野々川 勝治
70,308621,機械製図,野々川 勝治
71,308622,ソフトウェア工学,芦澤 怜史
72,308623,技術者倫理,安田 照幸
73,308624,熱力学２,菅野 望
74,308625,流体力学２（再）,古川 裕之
75,308701,機能再現演習,市川 明彦|井上 真澄|太田 利夫|大原 賢一|佐伯 壮一|清水 右郷|関山 浩介|野々川 勝治|畑 良幸|星野 昭広|目黒 淳一|楊 剣鳴|芦澤 怜史
76,308702,生体信号処理,佐伯 壮一
77,308703,技術英語,市川 明彦
78,308704,信号処理工学,佐伯 壮一
79,308707,ベクトルとキネマティクス,佐藤 徳孝
80,308708,制御工学３,関山 浩介
81,308709,自動車工学,芦澤 怜史
82,308710,インターンシップ,井上 真澄
83,308711,集中演習１（再）,芦澤 怜史|星野 昭広|大原 賢一
84,308712,集中演習２（再）,芦澤 怜史|星野 昭広|大原 賢一
85,308713,集中演習３（再）,芦澤 怜史|星野 昭広|大原 賢一
86,308714,自動車工学２,横谷 靖
87,303107,人文科学基礎１,石原 遼平
88,303111,社会科学基礎１,森口 舞
89,303508,人文科学基礎２,石原 遼平
90,303512,社会科学基礎２,森口 舞
91,300101,基礎ゼミナール１,中村 栄造
92,300102,基礎ゼミナール１,宮北 惠子
93,300103,基礎ゼミナール１,榎本 暁
94,300104,基礎ゼミナール１,長澤 崇雄
95,300105,基礎ゼミナール１,大知 聖子
96,300106,基礎ゼミナール１,景山 伯春
97,300107,基礎ゼミナール１,相馬 仁
98,300108,基礎ゼミナール１,前川 明寛
99,300109,基礎ゼミナール１,中島 公平
100,300110,基礎ゼミナール１,早藤 英俊
101,300111,基礎ゼミナール１,鈴木 昌弘
102,300112,基礎ゼミナール１,大藏 信之
103,300113,基礎ゼミナール１,西村 尚哉
104,300114,基礎ゼミナール１,宮田 喜久子
105,300115,基礎ゼミナール１,楊 剣鳴
106,300116,基礎ゼミナール１,板橋 一雄
107,300117,基礎ゼミナール１,片桐 誠之
108,300118,基礎ゼミナール１,吉久 光一
109,300501,基礎ゼミナール２,中村 栄造
110,300502,基礎ゼミナール２,宮北 惠子
111,300503,基礎ゼミナール２,榎本 暁
112,300504,基礎ゼミナール２,長澤 崇雄
113,300505,基礎ゼミナール２,大知 聖子
114,300506,基礎ゼミナール２,景山 伯春
115,300507,基礎ゼミナール２,相馬 仁
