,講義コード,講義名,担当者名
0,304125,化学１,神藤 定生
1,309704,コンクリート構造学,石川 靖晃
2,302206,英語コミュニケーション１（再）,山本 茂美
3,302606,英語コミュニケーション２（再）,山本 茂美
4,309001,卒業研究,新井 宗之|石川 靖晃|板橋 一雄|岩下 健太郎|葛 漢彬|小髙 猛司|鈴木 温|中村 一樹|原田 守博|藤井 幸泰|溝口 敦子|渡辺 孝一|松本 幸正
5,309101,社会基盤デザインセミナー１,石川 靖晃|板橋 一雄|岩下 健太郎|葛 漢彬|小髙 猛司|鈴木 温|中村 一樹|原田 守博|藤井 幸泰|松本 幸正|溝口 敦子|渡辺 孝一|新井 宗之
6,309103,力学基礎,新井 宗之|岩下 健太郎
7,309104,ドイツ語１,星 揚一郎
8,309108,線形代数１,植松 哲也
9,309109,線形代数１,内村 佳典
10,309110,力学基礎,新井 宗之|岩下 健太郎
11,309117,微分積分１,堀田 耕作
12,309118,微分積分１,柴田 将敬
13,309122,デザイン学入門,新井 宗之|岩下 健太郎|鈴木 温|髙森 博之|中村 一樹|平石 ゆりえ|渡辺 孝一|松本 幸正
14,309201,都市安全学,荒木 裕子|葛 漢彬|小髙 猛司|澤田 基弘|藤井 幸泰|溝口 敦子|中村 一樹
15,309202,応用数学１,石川 靖晃
16,309203,水理学１,原田 守博
17,309204,構造力学１,渡辺 孝一
18,309206,英語コミュニケーション３,松浦 由美子
19,309207,英語コミュニケーション３,子安 惠子
20,309209,構造力学１,渡辺 孝一
21,309210,水理学１,原田 守博
22,309211,測量学実習１,中村 光太郎|松本 幸正
23,309212,図学・CAD演習,渡辺 孝一
24,309213,社会プロジェクト特別講義,大井 大輔|小島 裕樹|児玉 佳大|濱田 常雄|山口 貴士|渡辺 孝一
25,309218,数理統計学,鈴木 温
26,309219,土質力学１,板橋 一雄
27,309220,土質力学１,板橋 一雄
28,309221,数理統計学,鈴木 温
29,309301,土質力学３,板橋 一雄
30,309302,地盤防災工学,李 圭太|小髙 猛司
31,309303,水理学３,新井 宗之
32,309304,土質・材料試験法,石川 靖晃|板橋 一雄|岩下 健太郎|久保 裕一|藤井 幸泰|小髙 猛司
33,309305,社会基盤計画学２,松本 幸正
34,309306,交通デザイン学,松本 幸正
35,309307,都市解析学,中村 一樹
36,309308,社会基盤デザイン総合演習１,石川 靖晃|中村 一樹|五味 康二|藤井 幸泰
37,309309,構造力学３,永田 和寿
38,309311,プラクティカル・イングリッシュ１,HARRIS Richard
39,309312,科学技術英語,石川 靖晃|中村 一樹|原田 守博|藤井 幸泰|松本 幸正|葛 漢彬
40,309313,河川工学,溝口 敦子
41,309314,構造・水理実験演習,葛 漢彬|原田 守博|堀江 克也|溝口 敦子|渡辺 孝一|新井 宗之
42,309401,耐震工学,葛 漢彬
43,309402,水質保全学,片桐 誠之
44,309403,施設維持管理論,岩下 健太郎|石川 靖晃
45,309404,応用測量･GIS実習,早川 成彦|鈴木 温
46,309405,山地防災工学,新井 宗之
47,309406,交通デザイン学,松本 幸正
48,309407,プロジェクトマネジメント,鷲見 高典|兵藤 真|鈴木 温
49,309408,自然環境再生論,新井 宗之|石川 靖晃|髙森 博之|藤井 幸泰|牧 理子|松本 幸正|岩下 健太郎
50,309501,材料力学,渡辺 孝一
51,309502,測量学,太田 和哉
52,309503,材料力学,渡辺 孝一
53,309506,ドイツ語２,星 揚一郎
54,309510,線形代数２,植松 哲也
55,309511,線形代数２,内村 佳典
56,309518,微分積分２,堀田 耕作
57,309519,微分積分２,柴田 将敬
58,309521,デザイン技法,髙森 博之|水野 康彦|渡辺 孝一
59,309522,プログラミング基礎演習,中村 一樹
60,309601,土質力学２,小髙 猛司
61,309602,水理学２,溝口 敦子
62,309603,水理学２,溝口 敦子
63,309604,土質力学２,小髙 猛司
64,309605,都市・国土制度論,中村 一樹|松本 幸正|山本 功一|鈴木 温
65,309606,社会基盤計画学１,松本 幸正
66,309607,構造力学２,葛 漢彬
67,309608,社会基盤計画学１,松本 幸正
68,309610,英語コミュニケーション４,松浦 由美子
69,309611,英語コミュニケーション４,子安 惠子
70,309613,技術者倫理,大野 波矢登
71,309614,技術者倫理,成瀬 翔
72,309615,構造力学２,葛 漢彬
73,309616,応用数学２,新井 宗之
74,309617,測量学実習２,中村 光太郎|松本 幸正
75,309622,水文・水資源工学,原田 守博
76,309623,建設材料学,岩下 健太郎
77,309624,都市デザイン学,中村 一樹
78,309701,海域工学,川崎 浩司
79,309702,地圏環境工学,藤井 幸泰
80,309703,都市経済学,鈴木 温
81,309705,まちづくり実習,鈴木 温|中村 一樹|水谷 香織|松本 幸正
82,309706,水域環境工学,谷口 義則|溝口 敦子|吉田 奈央子|原田 守博
83,309707,社会基盤デザイン総合演習２,石川 靖晃|板橋 一雄|葛 漢彬|鈴木 温|原田 守博
84,309708,社会基盤デザインセミナー２,石川 靖晃|板橋 一雄|岩下 健太郎|葛 漢彬|小髙 猛司|鈴木 温|中村 一樹|原田 守博|藤井 幸泰|松本 幸正|溝口 敦子|渡辺 孝一|新井 宗之
85,309711,鋼構造学,舘石 和雄
86,309712,キャリアデザイン,藤井 幸泰
87,309713,建設施工法,杉浦 孝文|杉山 宜央|石川 靖晃
88,309714,グローバルインターンシップ,中村 一樹|藤井 幸泰
89,303107,人文科学基礎１,石原 遼平
90,303111,社会科学基礎１,森口 舞
91,303508,人文科学基礎２,石原 遼平
92,303512,社会科学基礎２,森口 舞
93,300101,基礎ゼミナール１,中村 栄造
94,300102,基礎ゼミナール１,宮北 惠子
95,300103,基礎ゼミナール１,榎本 暁
96,300104,基礎ゼミナール１,長澤 崇雄
97,300105,基礎ゼミナール１,大知 聖子
98,300106,基礎ゼミナール１,景山 伯春
99,300107,基礎ゼミナール１,相馬 仁
100,300108,基礎ゼミナール１,前川 明寛
101,300109,基礎ゼミナール１,中島 公平
102,300110,基礎ゼミナール１,早藤 英俊
103,300111,基礎ゼミナール１,鈴木 昌弘
104,300112,基礎ゼミナール１,大藏 信之
105,300113,基礎ゼミナール１,西村 尚哉
106,300114,基礎ゼミナール１,宮田 喜久子
107,300115,基礎ゼミナール１,楊 剣鳴
108,300116,基礎ゼミナール１,板橋 一雄
109,300117,基礎ゼミナール１,片桐 誠之
110,300118,基礎ゼミナール１,吉久 光一
111,300501,基礎ゼミナール２,中村 栄造
112,300502,基礎ゼミナール２,宮北 惠子
113,300503,基礎ゼミナール２,榎本 暁
114,300504,基礎ゼミナール２,長澤 崇雄
115,300505,基礎ゼミナール２,大知 聖子
116,300506,基礎ゼミナール２,景山 伯春
117,300507,基礎ゼミナール２,相馬 仁
118,300508,基礎ゼミナール２,前川 明寛
119,300509,基礎ゼミナール２,中島 公平
120,300510,基礎ゼミナール２,早藤 英俊
121,300511,基礎ゼミナール２,大藏 信之
122,300512,基礎ゼミナール２,西村 尚哉
123,300513,基礎ゼミナール２,宮田 喜久子
124,300514,基礎ゼミナール２,楊 剣鳴
125,300515,基礎ゼミナール２,片桐 誠之
126,300516,基礎ゼミナール２,三宅 克英
127,300517,基礎ゼミナール２,吉久 光一
128,301130,物理学基礎演習１,鈴木 智子
129,301135,数学基礎演習１（advanced）,大橋 美佐
130,301136,英語基礎演習１（advanced）,蟹江 弘子
131,301137,英語基礎演習１（advanced）,榎本 暁
132,301207,人文科学基礎１（再）,星 揚一郎
133,301208,社会科学基礎１（再）,齋藤 滋
134,301220,物理学１（再）,大久保 敏之|小澤 理樹|片岡 啓介|佐藤 俊郎|坂東 俊治|土屋 文
135,301232,体育科学１（再）,内山 明
136,301306,国際関係論,賀茂 道子
137,301307,文学,緑川 幸成
138,301323,心理学,重村 正之
139,301531,物理学基礎演習２,鈴木 智子
140,301536,数学基礎演習２（advanced）,大橋 美佐
141,301537,英語基礎演習２（advanced）,蟹江 弘子
142,301538,英語基礎演習２（advanced）,榎本 暁
143,301606,人文科学基礎２（再）,星 揚一郎
144,301607,社会科学基礎２（再）,齋藤 滋
145,301616,物理学２（再）,小澤 理樹|片岡 啓介|佐藤 俊郎|土屋 文|坂東 俊治|大久保 敏之
