,講義コード,講義名,担当者名
0,304125,化学１,神藤 定生
1,310615,居住環境創造設計学１,菅 博嗣|吉村 晶子|岩田 剛彦|大野 浩資|久保田 英之
2,301632,体育科学４,黒田 真二|辻内 智樹|松本 秀彦|内田 雄介|柿島 新太郎
3,303107,人文科学基礎１,石原 遼平
4,303111,社会科学基礎１,森口 舞
5,303508,人文科学基礎２,石原 遼平
6,303512,社会科学基礎２,森口 舞
7,310001,卒業研究・卒業制作,片桐 誠之|道正 泰弘|西山 桂|日比 義彦|広瀬 正史|三宅 克英|武藤 昌也|吉村 晶子|小塩 達也|菅 博嗣
8,310104,環境創造工学概論１,片桐 誠之|道正 泰弘|西山 桂|日比 義彦|広瀬 正史|三宅 克英|武藤 昌也|村上 一夫|小塩 達也
9,310108,ドイツ語１,星 揚一郎
10,310111,中国語１,秋元 悦子
11,310119,物理学実験１,阿武木 啓朗|富田 寿代|中山 章宏|近本 彬|劉 厳
12,310201,地域環境調査実習１,三宅 克英|西山 桂|小塩 達也|片桐 誠之|道正 泰弘|日比 義彦|広瀬 正史|武藤 昌也
13,310202,化学工学,西山 桂
14,310203,快適性創造学１,原田 昌幸
15,310204,材料力学,小塩 達也
16,310205,環境材料学,道正 泰弘
17,310206,住環境創造設計学,河崎 泰了|岩田 剛彦
18,310207,情報処理１,丹羽 淳一
19,310212,環境保全学,片桐 誠之
20,310213,省エネルギー学,武藤 昌也
21,310214,確率統計学,内村 佳典
22,310219,環境共生都市論（再）,藤澤 徹
23,310220,応用数学,土田 哲生
24,310221,空間創造学,三浦 彩子
25,310222,基礎生態学,三宅 克英
26,310301,地震・活断層論,仲井 勇夫
27,310302,水処理学,片桐 誠之
28,310303,構造力学２,小塩 達也
29,310304,交通環境工学,福本 雅之
30,310305,水理学,冨永 晃宏
31,310306,環境気象学,広瀬 正史
32,310309,環境生態学,三宅 克英
33,310311,測量学,日比 義彦
34,310312,環境創造学実験１,小塩 達也|道正 泰弘|西山 桂|三宅 克英
35,310313,環境創造設備学,尹 奎英
36,310314,土壌地下水汚染学,日比 義彦
37,310315,都市環境設計,脇坂 圭一|杉浦 清
38,310401,環境アセスメント,三宅 克英
39,310403,建設法規,鈴木 博志
40,310404,環境法,大野 波矢登
41,310405,建設施工学,池戸 幸二|武藤 昌也
42,310502,エネルギー環境論,武藤 昌也
43,310504,環境創造工学概論２,片桐 誠之|道正 泰弘|西山 桂|日比 義彦|広瀬 正史|三宅 克英|武藤 昌也|吉村 晶子|小塩 達也
44,310507,デザイン図法,大野 浩資|菅 博嗣|杉浦 清|吉村 晶子|岩田 剛彦
45,310508,ドイツ語２,星 揚一郎
46,310511,中国語２,秋元 悦子
47,310520,環境倫理,大野 波矢登
48,310521,物理学実験２,阿武木 啓朗|富田 寿代|中山 章宏|近本 彬|劉 厳
49,310601,エネルギー管理工学,武藤 昌也
50,310602,構造力学１,小塩 達也
51,310603,快適性創造学２,尹 奎英
52,310604,環境計測学,小塩 達也|武藤 昌也|三宅 克英
53,310605,環境文化論,吉村 晶子
54,310606,技術者倫理,大野 波矢登
55,310607,材料リサイクル,道正 泰弘
56,310608,流れ工学,三宅 克英|牛島 達夫|大堀 文彦
57,310609,環境生態工学,三宅 克英
58,310610,情報処理２,大嶽 麻里子
59,310620,地域環境調査実習２,武藤 昌也|小塩 達也|片桐 誠之|道正 泰弘|西山 桂|三宅 克英|吉村 晶子
60,310621,有機材料工学,西山 桂
61,310622,環境分析学,片桐 誠之
62,310701,構造設計学１,小塩 達也
63,310702,構造設計学２,道正 泰弘
64,310705,環境創造学実験２,片桐 誠之|広瀬 正史|武藤 昌也|日比 義彦
65,310706,コミュニケーションスキル,髙木 香与呼
66,310707,コミュニケーションスキル,髙木 香与呼
67,310708,水域環境創造学,三宅 克英
68,310709,環境リモートセンシング,広瀬 正史
69,310710,測量学実習,太田 和哉|日比 義彦|広瀬 正史
70,310711,インターンシップ,小塩 達也
71,310712,ゼミナール,小塩 達也|片桐 誠之|道正 泰弘|西山 桂|広瀬 正史|三宅 克英|武藤 昌也|吉村 晶子|日比 義彦
72,310713,環境文化論,吉村 晶子
73,310801,材料リサイクル,道正 泰弘
74,300101,基礎ゼミナール１,中村 栄造
75,300102,基礎ゼミナール１,宮北 惠子
76,300103,基礎ゼミナール１,榎本 暁
77,300104,基礎ゼミナール１,長澤 崇雄
