,講義コード,講義名,担当者名
0,304125,化学１,神藤 定生
1,300101,基礎ゼミナール１,中村 栄造
2,300102,基礎ゼミナール１,宮北 惠子
3,300103,基礎ゼミナール１,榎本 暁
4,300104,基礎ゼミナール１,長澤 崇雄
5,300105,基礎ゼミナール１,大知 聖子
6,300106,基礎ゼミナール１,景山 伯春
7,300107,基礎ゼミナール１,相馬 仁
8,300108,基礎ゼミナール１,前川 明寛
9,300109,基礎ゼミナール１,中島 公平
10,300110,基礎ゼミナール１,早藤 英俊
11,300111,基礎ゼミナール１,鈴木 昌弘
12,300112,基礎ゼミナール１,大藏 信之
13,300113,基礎ゼミナール１,西村 尚哉
14,300114,基礎ゼミナール１,宮田 喜久子
15,300115,基礎ゼミナール１,楊 剣鳴
16,300116,基礎ゼミナール１,板橋 一雄
17,300117,基礎ゼミナール１,片桐 誠之
18,300118,基礎ゼミナール１,吉久 光一
19,300501,基礎ゼミナール２,中村 栄造
20,300502,基礎ゼミナール２,宮北 惠子
21,300503,基礎ゼミナール２,榎本 暁
22,300504,基礎ゼミナール２,長澤 崇雄
23,300505,基礎ゼミナール２,大知 聖子
24,300506,基礎ゼミナール２,景山 伯春
25,300507,基礎ゼミナール２,相馬 仁
26,300508,基礎ゼミナール２,前川 明寛
27,300509,基礎ゼミナール２,中島 公平
28,300510,基礎ゼミナール２,早藤 英俊
29,300511,基礎ゼミナール２,大藏 信之
30,300512,基礎ゼミナール２,西村 尚哉
31,300513,基礎ゼミナール２,宮田 喜久子
32,300514,基礎ゼミナール２,楊 剣鳴
33,300515,基礎ゼミナール２,片桐 誠之
34,300516,基礎ゼミナール２,三宅 克英
35,300517,基礎ゼミナール２,吉久 光一
36,301107,人文科学基礎１,星 揚一郎
37,301108,人文科学基礎１,河津 邦喜
38,301109,社会科学基礎１,早坂 泰行
39,301110,社会科学基礎１,齋藤 滋
40,301111,社会科学基礎１,森口 舞
41,301130,物理学基礎演習１,鈴木 智子
42,301135,数学基礎演習１（advanced）,大橋 美佐
43,301136,英語基礎演習１（advanced）,蟹江 弘子
44,301137,英語基礎演習１（advanced）,榎本 暁
45,301207,人文科学基礎１（再）,星 揚一郎
46,301208,社会科学基礎１（再）,齋藤 滋
47,301220,物理学１（再）,大久保 敏之|小澤 理樹|片岡 啓介|佐藤 俊郎|坂東 俊治|土屋 文
48,301232,体育科学１（再）,内山 明
49,301306,国際関係論,賀茂 道子
50,301307,文学,緑川 幸成
51,301323,心理学,重村 正之
52,301506,人文科学基礎２,星 揚一郎
53,301507,人文科学基礎２,河津 邦喜
54,301508,社会科学基礎２,早坂 泰行
55,301509,社会科学基礎２,齋藤 滋
56,301510,社会科学基礎２,森口 舞
57,301531,物理学基礎演習２,鈴木 智子
58,301536,数学基礎演習２（advanced）,大橋 美佐
59,301537,英語基礎演習２（advanced）,蟹江 弘子
60,301538,英語基礎演習２（advanced）,榎本 暁
61,301606,人文科学基礎２（再）,星 揚一郎
62,301607,社会科学基礎２（再）,齋藤 滋
63,301616,物理学２（再）,小澤 理樹|片岡 啓介|佐藤 俊郎|土屋 文|坂東 俊治|大久保 敏之
64,301627,体育科学２（再）,内山 明
65,301706,国際経済論,名和 洋人
66,301707,心理学,濱家 徳子
67,301708,心理学,鷲津 秀樹|森口 舞
68,302119,数学基礎演習１,北河 一生|片岡 紀智
69,302127,理工学概論,池本 有助|井上 真澄|高井 宏之|竹内 哲也|中山 章宏|西山 桂|坂東 俊治|平松 美根男|本田 真己|山本 修身|吉川 雅弥|吉久 光一|渡辺 孝一|加鳥 裕明
70,302128,数学基礎演習１,岡 智美|小澤 哲也
71,302216,線形代数１（再）,片岡 紀智|北河 一生|土田 哲生
72,302220,地学１,塚腰 実
73,302226,微分積分１（再）,岡 智美|柴田 将敬
74,302327,職業指導論,山口 貴士
75,302517,数学基礎演習２,北河 一生|片岡 紀智
76,302615,線形代数２（再）,片岡 紀智|北河 一生|許斐 豊
77,302620,地学２,塚腰 実
78,302626,微分積分２（再）,岡 智美|鍜治 俊輔
79,304124,体育科学１,青山 健太|門間 博|塩見 哲大|永田 恵理|金子 恭久
80,304521,体育科学２,青山 健太|門間 博|塩見 哲大|永田 恵理|金子 恭久
81,305215,体育科学３,加藤 幸久|鈴木 康博|高橋 淳一郎|高山 伸也|鈴木 茂廣
82,305620,体育科学４,加藤 幸久|鈴木 康博|高橋 淳一郎|高山 伸也|鈴木 茂廣
83,307112,化学基礎演習１,本田 真己
84,307513,化学基礎演習２,本田 真己
85,307614,物理学演習（再）,片岡 啓介
86,308104,英語基礎演習１,萩 三恵
87,308216,アジア文化論１,本村 耐樹
88,308217,アジア文化論１,竹野 富之
89,308218,欧米文化論１,宮北 惠子
90,308219,欧米文化論１,大橋 真砂子
91,308504,英語基礎演習２,萩 三恵
92,308612,アジア文化論２,本村 耐樹
93,308613,アジア文化論２,竹野 富之
94,308614,欧米文化論２,宮北 惠子
95,308615,欧米文化論２,大橋 真砂子
96,311001,卒業研究・卒業制作,生田 京子|石井 仁|市之瀬 敏勝|大塚 貴弘|岡田 恭明|佐藤 布武|鈴木 博志|高橋 広人|谷田 真|寺西 浩司|平岩 陸|松田 和浩|三浦 彩子|武藤 厚|吉永 美香|吉久 光一|米澤 貴紀|高井 宏之
97,311101,建築計画概論,佐藤 布武|谷田 真
98,311103,デザイン基礎１,高部 修
99,311105,微分積分１,柴田 将敬
100,311108,線形代数１,佐藤 光樹
101,311109,化学１,本田 真己
102,311114,ドイツ語１,山村 比鶴
103,311115,フランス語１,内田 智秀
104,311116,中国語１,張 書涵
105,311117,ワークショップ,石井 仁|大塚 貴弘|岡田 恭明|佐藤 布武|鈴木 博志|高井 宏之|谷田 真|寺西 浩司|平岩 陸|松田 和浩|三浦 彩子|武藤 厚|吉永 美香|米澤 貴紀|生田 京子|市之瀬 敏勝|吉久 光一
106,311118,構造力学概論,松田 和浩
107,311119,デザイン基礎１,今井 大輔
108,311120,デザイン基礎１,小林 淳
109,311125,化学１,田中 義人
110,311131,中国語１,岩佐 一枝
111,311132,構造力学概論,松田 和浩
112,311201,構造力学２,高橋 広人
113,311202,建築環境工学,石井 仁
114,311204,CADデザイン,山上 健
115,311206,建築各種構造１,松田 和浩|大塚 貴弘
116,311207,建築材料,平岩 陸
117,311209,建築応用数学,鈴木 博志
118,311211,ドイツ語３,村元 麻衣
119,311212,フランス語３,村田 ひで子
120,311213,中国語３,吉田 仁
121,311214,英語コミュニケーション３,武藤 美代子
122,311215,英語コミュニケーション３,服部 有紀
123,311216,英語コミュニケーション３,相川 由美
124,311217,構造力学２,高橋 広人
125,311218,建築環境工学,石井 仁
126,311219,建築各種構造１,松田 和浩|大塚 貴弘
127,311220,建築材料,平岩 陸
128,311221,CADデザイン,山上 健
129,311223,建築応用数学,鈴木 博志
130,311226,中国語３,董 紅俊
131,311227,英語コミュニケーション３,武藤 美代子
132,311228,英語コミュニケーション３,蟹江 弘子
133,311229,英語コミュニケーション３,相川 由美
134,311301,建築構造実験,大塚 貴弘|武藤 厚
135,311302,建築材料実験,平岩 陸|寺西 浩司
136,311303,建築材料実験,平岩 陸|寺西 浩司
137,311304,建築構造実験,大塚 貴弘|武藤 厚
138,311305,建築計画３,生田 京子|高井 宏之
139,311306,住宅計画論,鈴木 博志
140,311307,建築構造デザイン１,大塚 貴弘
141,311308,建築構造計画,市之瀬 敏勝|武藤 厚
142,311309,建築設備工学１,吉永 美香
143,311310,建築環境計画,吉久 光一
144,311311,プラクティカル・イングリッシュ１,HARRIS Richard
145,311312,プラクティカル・イングリッシュ１,Joseph Sichi
146,311313,プラクティカル・イングリッシュ１,HARRIS Richard
147,311314,建築生産１,井上 誠喜
148,311315,耐震工学,高橋 広人
149,311316,建築デザイン１,生田 京子|大塚 貴弘|佐藤 布武|谷田 真|高井 宏之
150,311317,ゼミナール１,生田 京子|石井 仁|市之瀬 敏勝|大塚 貴弘|岡田 恭明|佐藤 布武|鈴木 博志|高井 宏之|谷田 真|寺西 浩司|平岩 陸|松田 和浩|三浦 彩子|武藤 厚|吉永 美香|吉久 光一|米澤 貴紀|高橋 広人
151,311401,近代建築史,三浦 彩子
152,311402,地域計画,鈴木 博志
153,311403,都市環境デザイン,吉久 光一
154,311404,建築デザイン３,坂本 匡史|谷田 真|納村 信之|高井 宏之
155,311405,構造力学４,松田 和浩
156,311406,建築維持保全,山田 昌喜|寺西 浩司
157,311407,建築構造設計,大塚 貴弘|武藤 厚
158,311501,建築環境概論,岡田 恭明
159,311502,構造力学１,大塚 貴弘
160,311503,デザイン基礎２,米澤 貴紀
161,311504,デザイン基礎２,栗本 真壱
162,311507,物理学実験２,石田 明|坂井 麻里子|鈴木 智子|中野 拓哉|宮嶋 孝夫
163,311509,線形代数２,許斐 豊
164,311510,化学２,本田 真己
165,311515,ドイツ語２,山村 比鶴
166,311516,フランス語２,内田 智秀
167,311517,中国語２,張 書涵
168,311518,微分積分２,柴田 将敬
169,311520,建築材料概論,寺西 浩司
170,311521,構造力学１,大塚 貴弘
171,311522,建築環境概論,岡田 恭明
172,311523,デザイン基礎２,酒井 悠行
173,311524,デザイン基礎２,高井 宏之|三浦 彩子
174,311526,微分積分２,土田 哲生
175,311527,物理学実験２,石田 明|坂井 麻里子|中野 拓哉|宮嶋 孝夫|鈴木 智子
176,311529,化学２,田中 義人
177,311535,中国語２,岩佐 一枝
178,311537,建築材料概論,寺西 浩司
179,311602,日本建築史,米澤 貴紀
180,311603,建築各種構造２,市之瀬 敏勝|武藤 厚
181,311604,建築環境物理,吉永 美香
182,311605,建築構造計画（再）,武藤 厚
183,311606,建築計画２,高井 宏之
184,311607,建築生産概論,平岩 陸
185,311608,構造力学３,高橋 広人
186,311610,基本空間デザイン２,神谷 勇机|吉村 真基|伊藤 維
187,311611,ドイツ語４,村元 麻衣
188,311612,フランス語４,村田 ひで子
189,311613,中国語４,吉田 仁
190,311614,英語コミュニケーション４,武藤 美代子
191,311615,英語コミュニケーション４,服部 有紀
192,311616,英語コミュニケーション４,相川 由美
193,311617,技術者倫理,山田 厚志
194,311618,建築各種構造２,市之瀬 敏勝|武藤 厚
195,311620,建築生産概論,平岩 陸
196,311621,建築計画２,高井 宏之
197,311623,構造力学３,高橋 広人
198,311624,基本空間デザイン２,桑原 雅明|佐藤 布武|向井 一規
199,311625,中国語４,董 紅俊
200,311626,技術者倫理,山田 厚志
201,311627,英語コミュニケーション４,武藤 美代子
202,311628,英語コミュニケーション４,蟹江 弘子
203,311629,英語コミュニケーション４,相川 由美
204,311701,インテリアデザイン,飯塚 邦一|伊藤 孝紀|米澤 研二|生田 京子
205,311702,建築設備工学２,田上 賢一|吉永 美香
206,311703,建築構造デザイン２,武藤 厚|市之瀬 敏勝
207,311704,都市防災（再）,倉田 和己|高橋 広人
208,311705,建築法規行政,鈴木 博志
209,311706,近代建築史,三浦 彩子
210,311707,数値計算法（再）,高橋 広人|松田 和浩
211,311708,建築環境実験,石井 仁|吉永 美香|吉久 光一|岡田 恭明
212,311710,プラクティカル・イングリッシュ２,HARRIS Richard
213,311711,プラクティカル・イングリッシュ２,Joseph Sichi
214,311712,プラクティカル・イングリッシュ２,HARRIS Richard
215,311713,建築生産２,井上 誠喜
216,311714,建築デザイン２,橋本 健史|谷田 真
217,311715,建築デザイン２,久保 久志|生田 京子
218,311716,インターンシップ,佐藤 布武
219,311717,設計総合演習,石井 仁|市之瀬 敏勝|大塚 貴弘|岡田 恭明|佐藤 布武|鈴木 博志|高井 宏之|高橋 広人|谷田 真|寺西 浩司|平岩 陸|松田 和浩|三浦 彩子|武藤 厚|吉永 美香|吉久 光一|米澤 貴紀|生田 京子
220,311718,ゼミナール２,生田 京子|石井 仁|市之瀬 敏勝|大塚 貴弘|岡田 恭明|佐藤 布武|鈴木 博志|高井 宏之|谷田 真|寺西 浩司|平岩 陸|松田 和浩|三浦 彩子|武藤 厚|吉永 美香|吉久 光一|米澤 貴紀|高橋 広人
221,652501,教育行政論,片山 信吾
222,653104,理科指導法Ａ,井中 宏史
223,653107,工業科教育法,谷口 正明
224,653116,職業指導論１,山口 貴士
225,653510,工業科指導法,谷口 正明
226,653527,教育実習指導（事前）,谷口 正明
227,652113,理科教育法Ａ,井中 宏史
228,652124,教育方法論,後藤 明史
229,652128,理科教育法２,井中 宏史
230,652129,道徳教育の指導法,塚原 利理
231,652130,特別活動の指導法,山川 法子
232,652507,理科教育法Ｂ,井中 宏史
233,652515,理科教育法１,井中 宏史
234,653115,理科指導法１,谷口 正明
235,653503,理科指導法Ｂ,井中 宏史
236,651501,学習社会論,片山 信吾
237,651514,教育方法・技術論,後藤 明史
238,652101,発達心理学,木村 美奈子
239,652104,教育法規,片山 信吾
240,652116,道徳教育の理論と指導法,塚原 利理
241,653111,学校課題演習,片山 信吾
242,653112,学校課題演習,谷口 正明|井中 宏史
243,653514,学校課題演習,嶋口 裕基
244,653519,模擬授業演習,谷口 正明
245,661501,生涯学習論,片山 信吾
246,662101,博物館原論,正村 美里
247,662103,日本文化の歴史,山中 雅子
248,662104,民俗学,山中 雅子
249,662501,博物館経営論,土山 公仁
250,662503,古文書学,山中 雅子
251,664007,博物館実習３,三浦 彩子
252,301308,日本国憲法,日比 拓也
253,301309,日本国憲法,川中 達治
254,301322,日本国憲法,日比 拓也
255,302240,生物学実験,寺野 ひろ実
256,302307,地学実験１,齊藤 毅
257,302526,数学基礎演習２,岡 智美|日比野 正樹
258,302545,生物学,寺野 ひろ実
259,302703,地学実験２,市原 俊|齊藤 毅
260,304222,英語コミュニケーション１（再）,中村 栄造
261,304620,英語コミュニケーション２（再）,中村 栄造
262,311102,デザイン基礎１,鈴木 博志
263,311104,コンピューターリテラシー,丹羽 淳一
264,311106,物理学実験１,石田 明|坂井 麻里子|鈴木 智子|中野 拓哉|宮嶋 孝夫
265,311107,化学実験１,村手 宏隆|景山 伯春
266,311110,物理学１,中山 章宏
267,311111,英語コミュニケーション１,松村 昌紀
268,311112,英語コミュニケーション１,宮北 惠子
269,311113,英語コミュニケーション１,中村 栄造
270,311121,コンピューターリテラシー,安田 倫代
271,311122,微分積分１,土田 哲生
272,311123,物理学実験１,石田 明|坂井 麻里子|鈴木 智子|中野 拓哉|宮嶋 孝夫
273,311124,化学実験１,村手 宏隆|景山 伯春
274,311126,線形代数１,長郷 文和
275,311127,英語コミュニケーション１,岩塚 さおり
276,311128,英語コミュニケーション１,田中 晴紀
277,311129,英語コミュニケーション１,永井 正司
278,311130,物理学１,中山 章宏
279,311203,西洋建築史,武藤 厚|三浦 彩子
280,311205,CADデザイン,石黒 泰司
281,311208,基本空間デザイン１,生田 京子|納村 信之|佐々木 勝敏
282,311210,建築計画１,佐藤 布武|谷田 真
283,311222,CADデザイン,石黒 泰司
284,311224,建築計画１,佐藤 布武|谷田 真
285,311225,基本空間デザイン１,三谷 裕樹|向井 一規|大前 貴裕
286,311505,建築史概論,米澤 貴紀
287,311506,物理学演習,髙廣 克己
288,311508,化学実験２,景山 伯春
289,311511,物理学２,中山 章宏
290,311512,英語コミュニケーション２,松村 昌紀
291,311513,英語コミュニケーション２,宮北 惠子
292,311514,英語コミュニケーション２,中村 栄造
293,311519,建築構造概論,高橋 広人|松田 和浩|武藤 厚
294,311525,物理学演習,髙廣 克己
295,311528,化学実験２,景山 伯春
296,311530,線形代数２,長郷 文和
297,311531,英語コミュニケーション２,岩塚 さおり
298,311532,英語コミュニケーション２,田中 晴紀
299,311533,英語コミュニケーション２,永井 正司
300,311534,物理学２,中山 章宏
301,311536,建築構造概論,高橋 広人|松田 和浩|武藤 厚
302,311601,都市計画,鈴木 博志
303,311609,建築設備概論,石井 仁
304,311619,都市計画,鈴木 博志
305,311622,建築設備概論,石井 仁
306,651105,教職入門,谷口 正明
307,651110,教育原論,嶋口 裕基
308,651114,教育心理学,木村 美奈子
309,651502,教育課程論,佐々木 基裕
310,651508,生徒・進路指導論,曽山 和彦
311,652119,教育情報論,平山 勉
312,652123,学校教育相談,川俣 理惠
313,652503,特別支援教育論,曽山 和彦
314,652512,特別活動と総合的な学習の時間の指導法,杉浦 里美
315,654105,教育実習１,谷口 正明
316,654113,教育実習２,谷口 正明
317,654121,教育実習指導（事後）,谷口 正明
318,654505,教職実践演習(中・高),谷口 正明
