,講義コード,講義名,担当者名
0,410101,世界の歴史と文化,武藤 美代子
1,410102,日本の歴史と文化,久野 潤
2,410103,哲学,竹内 章郎
3,410104,心理学,重村 正之
4,410105,日本語学,山田 永
5,410106,日本語学,山田 永
6,410107,日本国憲法,今井 良幸
7,410108,暮らしの中の法律,村上 広一
8,410109,政治学,小林 正嗣
9,410110,社会学,石橋 康正
10,410111,経済学,杉本 大三
11,410112,宗教の世界,平野 克典
12,410113,メディアリテラシー,宮田 雅子
13,410201,地球と宇宙,谷口 正明
14,410202,生命・食料・環境,鈴木 康生|平野 達也|黒川 裕介|津呂 正人|寺田 理枝|森上 敦|塚越 啓央|山岸 健三|上船 雅義|平児 慎太郎
15,410203,物質の成り立ち,谷口 正明
16,410301,英語基礎１,鬼頭 修
17,410302,英語基礎２,鬼頭 修
18,410311,英語初級１,田村 知子
19,410312,英語初級２,田村 知子
20,410313,英語初級３,山添 直樹
21,410314,英語初級４,山添 直樹
22,410321,英語中級１,山添 直樹
23,410322,英語中級２,山添 直樹
24,410323,英語中級３,服部 茂
25,410324,英語中級４,服部 茂
26,410333,英語中級３,大橋 昌弥
27,410334,英語中級４,大橋 昌弥
28,410341,英語上級１,畑 裕子
29,410342,英語上級２,畑 裕子
30,410343,英語上級３,加藤 普由子
31,410344,英語上級４,加藤 普由子
32,410351,英語初級１（再）,鬼頭 修
33,410352,英語初級２（再）,鬼頭 修
34,410353,英語初級３（再）,武藤 美代子
35,410354,英語初級４（再）,武藤 美代子
36,410361,英語中級１（再）,鬼頭 修
37,410362,英語中級２（再）,鬼頭 修
38,410363,英語中級３（再）,武藤 美代子
39,410364,英語中級４（再）,武藤 美代子
40,410371,英語上級１（再）,鬼頭 修
41,410372,英語上級２（再）,鬼頭 修
42,410373,英語上級３（再）,武藤 美代子
43,410374,英語上級４（再）,武藤 美代子
44,410381,英語基礎１（英文法重点クラス）,鬼頭 修
45,410382,英語基礎２（英文法重点クラス）,鬼頭 修
46,410401,英会話基礎１,TULADHAR ASTHA
47,410402,英会話基礎２,TULADHAR ASTHA
48,410411,英会話初級１,菅原 裕子
49,410412,英会話初級２,菅原 裕子
50,410413,英会話初級３,BAILEY Mark
51,410414,英会話初級４,BAILEY Mark
52,410421,英会話中級１,畑 裕子
53,410422,英会話中級２,畑 裕子
54,410423,英会話中級３,BARNES TIMOTHY J
55,410424,英会話中級４,BARNES TIMOTHY J
56,410433,英会話中級３,ARRIETA LOVELY
57,410434,英会話中級４,ARRIETA LOVELY
58,410441,英会話上級１,伊藤 省三
59,410442,英会話上級２,伊藤 省三
60,410443,英会話上級３,Iwaskow Roman
61,410444,英会話上級４,Iwaskow Roman
62,410451,英会話初級１（再）,鬼頭 修
63,410452,英会話初級２（再）,鬼頭 修
64,410453,英会話初級３（再）,DAVANZO CHRISTOPHER
65,410454,英会話初級４（再）,DAVANZO CHRISTOPHER
66,410461,英会話中級１（再）,鬼頭 修
67,410462,英会話中級２（再）,鬼頭 修
68,410463,英会話中級３（再）,DAVANZO CHRISTOPHER
69,410464,英会話中級４（再）,DAVANZO CHRISTOPHER
70,410471,英会話上級１（再）,鬼頭 修
71,410472,英会話上級２（再）,鬼頭 修
72,410473,英会話上級３（再）,DAVANZO CHRISTOPHER
73,410474,英会話上級４（再）,DAVANZO CHRISTOPHER
74,410501,中国語１,梁 紅
75,410502,中国語２,梁 紅
76,410511,ドイツ語１,中村 実生
77,410512,ドイツ語２,中村 実生
78,410521,フランス語１,井出 勉
79,410522,フランス語２,井出 勉
80,410531,海外語学研修１,森上 敦
81,410532,海外語学研修２,森上 敦
82,410601,情報機器の操作１,大嶽 麻里子
83,410602,情報機器の操作１,丹羽 直美
84,410603,情報機器の操作２,安田 倫代
85,410604,情報機器の操作２,丹羽 直美
