,講義コード,講義名,担当者名
0,410101,世界の歴史と文化,武藤 美代子
1,410102,日本の歴史と文化,久野 潤
2,410103,哲学,竹内 章郎
3,410104,心理学,重村 正之
4,410105,日本語学,山田 永
5,410106,日本語学,山田 永
6,410107,日本国憲法,今井 良幸
7,410108,暮らしの中の法律,村上 広一
8,410109,政治学,小林 正嗣
9,410110,社会学,石橋 康正
10,410111,経済学,杉本 大三
11,410112,宗教の世界,平野 克典
12,410113,メディアリテラシー,宮田 雅子
13,410201,地球と宇宙,谷口 正明
14,410203,物質の成り立ち,谷口 正明
15,410351,英語初級１（再）,鬼頭 修
16,410352,英語初級２（再）,鬼頭 修
17,410353,英語初級３（再）,武藤 美代子
18,410354,英語初級４（再）,武藤 美代子
19,410361,英語中級１（再）,鬼頭 修
20,410362,英語中級２（再）,鬼頭 修
21,410363,英語中級３（再）,武藤 美代子
22,410364,英語中級４（再）,武藤 美代子
23,410371,英語上級１（再）,鬼頭 修
24,410372,英語上級２（再）,鬼頭 修
25,410373,英語上級３（再）,武藤 美代子
26,410374,英語上級４（再）,武藤 美代子
27,410381,英語基礎１（英文法重点クラス）,鬼頭 修
28,410382,英語基礎２（英文法重点クラス）,鬼頭 修
29,410451,英会話初級１（再）,鬼頭 修
30,410452,英会話初級２（再）,鬼頭 修
31,410453,英会話初級３（再）,DAVANZO CHRISTOPHER
32,410454,英会話初級４（再）,DAVANZO CHRISTOPHER
33,410461,英会話中級１（再）,鬼頭 修
34,410462,英会話中級２（再）,鬼頭 修
35,410463,英会話中級３（再）,DAVANZO CHRISTOPHER
36,410464,英会話中級４（再）,DAVANZO CHRISTOPHER
37,410471,英会話上級１（再）,鬼頭 修
38,410472,英会話上級２（再）,鬼頭 修
39,410473,英会話上級３（再）,DAVANZO CHRISTOPHER
40,410474,英会話上級４（再）,DAVANZO CHRISTOPHER
41,410501,中国語１,梁 紅
42,410502,中国語２,梁 紅
43,410511,ドイツ語１,中村 実生
44,410512,ドイツ語２,中村 実生
45,410521,フランス語１,井出 勉
46,410522,フランス語２,井出 勉
47,410531,海外語学研修１,森上 敦
48,410532,海外語学研修２,森上 敦
49,410605,情報機器の操作３,丹羽 直美
50,410703,健康・スポーツ科学３,香村 恵介|塩見 哲大|安藤 健太郎
51,410704,健康・スポーツ科学４,香村 恵介|塩見 哲大|安藤 健太郎
52,410801,インターンシップ１,森上 敦
53,410802,インターンシップ２,森上 敦
54,410803,職業指導論,塚本 昭彦
55,410804,キャリアデザイン学,木岡 一明
56,410901,日本語１,服部 淳
57,410902,日本語２,大羽 かおり
58,410903,日本語３,向井 淑子
59,410904,日本語４,服部 淳
60,410911,英語初級１（再）,安原 和也
61,410912,英語初級２（再）,安原 和也
62,410913,英語初級３（再）,安原 和也
63,410914,英語初級４（再）,安原 和也
64,410921,英語中級１（再）,教員未確定
65,410922,英語中級２（再）,教員未確定
66,410923,英語中級３（再）,教員未確定
67,410924,英語中級４（再）,教員未確定
68,410931,英語上級１（再）,教員未確定
69,410932,英語上級２（再）,教員未確定
70,410933,英語上級３（再）,教員未確定
71,410934,英語上級４（再）,教員未確定
72,410941,英会話初級１（再）,安原 和也
73,410942,英会話初級２（再）,安原 和也
74,410951,英会話中級１（再）,教員未確定
75,410952,英会話中級２（再）,教員未確定
76,410961,英会話上級１（再）,教員未確定
77,410962,英会話上級２（再）,教員未確定
78,410971,英語基礎１（英文法重点クラス）,教員未確定
79,410972,英語基礎２（英文法重点クラス）,教員未確定
80,411010,物理学実験,土屋 文|坂井 麻里子|鈴木 智子
81,411011,地学,川瀬 基弘
82,411012,地学実験,齊藤 毅|市原 俊
83,411013,数学,三町 祐子
84,412081,フィールド生産技術論,森田 隆史|中尾 義則|森田 裕将|平野 義晃
